step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.912,0.000000e+00,1.765167e-03,4.1341,0.0,0,6,136,1959,100,100
1,2159,2160,0.000463,0.912,0.000000e+00,1.342343e-03,3.4816,0.0,0,6,72,1958,100,100
2,2158,2160,0.000926,0.912,0.000000e+00,5.447941e-03,3.4674,0.0,0,6,170,1957,100,100
3,2157,2160,0.001389,0.912,0.000000e+00,5.566989e-03,3.4703,0.0,0,6,138,1956,100,100
4,2156,2160,0.001852,0.912,0.000000e+00,2.151628e-02,3.4715,0.0,0,6,73,1955,100,100
5,2155,2160,0.002315,0.912,0.000000e+00,1.986786e-03,3.6491,0.0,0,6,173,1954,100,100
6,2154,2160,0.002778,0.912,0.000000e+00,1.311977e-02,3.4734,0.0,0,6,174,1953,100,100
7,2153,2160,0.003241,0.912,0.000000e+00,7.100508e-04,3.4781,0.0,0,6,40,1952,100,100
8,2152,2160,0.003704,0.912,0.000000e+00,7.488798e-03,3.4748,0.0,0,6,41,1951,100,100
9,2151,2160,0.004167,0.912,0.000000e+00,2.024474e-03,3.4739,0.0,0,6,108,1950,100,100
10,2150,2160,0.00463,0.912,0.000000e+00,5.689966e-05,3.4757,0.0,0,6,0,1949,100,100
11,2149,2160,0.005093,0.912,0.000000e+00,1.157115e-02,3.4771,0.0,2,7,0,1949,100,99
12,2148,2160,0.005556,0.912,0.000000e+00,1.110337e-02,3.4721,0.0,0,6,1,1948,100,99
13,2147,2160,0.006019,0.912,0.000000e+00,5.664742e-03,3.5148,0.0,0,6,111,1947,100,99
14,2146,2160,0.006481,0.912,0.000000e+00,5.118980e-03,3.4853,0.0,0,6,78,1946,100,99
15,2145,2160,0.006944,0.912,0.000000e+00,9.895488e-03,3.4752,0.0,0,6,182,1945,100,99
16,2144,2160,0.007407,0.912,0.000000e+00,9.236316e-03,3.4777,0.0,0,6,183,1944,100,99
