epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.1008,0.08,0.230231,0.43
1,0.1025,0.085,0.230224,0.004
2,0.1053,0.086,0.230216,0.003
3,0.1097,0.086,0.230209,0.003
4,0.1116,0.092,0.2302,0.003
5,0.1127,0.093,0.230193,0.003
6,0.1123,0.095,0.230185,0.003
7,0.1132,0.095,0.230177,0.004
8,0.114,0.095,0.230168,0.004
9,0.1155,0.1,0.230159,0.003
10,0.1172,0.103,0.230149,0.003
11,0.1195,0.106,0.230139,0.003
12,0.1226,0.104,0.230129,0.003
13,0.1244,0.106,0.230118,0.003
14,0.1263,0.108,0.230106,0.004
15,0.1289,0.11,0.230094,0.003
16,0.1281,0.112,0.230081,0.004
17,0.1298,0.112,0.230069,0.004
18,0.1308,0.113,0.230053,0.004
19,0.1323,0.113,0.230038,0.004
20,0.1328,0.115,0.230021,0.003
21,0.1347,0.12,0.230003,0.004
22,0.1357,0.117,0.229985,0.004
23,0.1364,0.118,0.229966,0.004
24,0.1348,0.118,0.229944,0.003
25,0.1344,0.119,0.22992,0.003
26,0.1355,0.121,0.229895,0.003
27,0.1353,0.118,0.229871,0.003
28,0.1354,0.119,0.229845,0.003
29,0.1352,0.117,0.229812,0.003
30,0.1335,0.121,0.22978,0.003
31,0.1349,0.119,0.229747,0.003
32,0.1344,0.123,0.229711,0.003
33,0.1303,0.117,0.229666,0.003
34,0.1281,0.116,0.229618,0.003
35,0.1261,0.112,0.229569,0.003
36,0.1231,0.114,0.229512,0.003
37,0.1221,0.109,0.229448,0.003
38,0.1217,0.11,0.229379,0.004
39,0.1204,0.106,0.229305,0.004
40,0.1207,0.11,0.229234,0.003
41,0.1188,0.106,0.229141,0.004
42,0.1167,0.099,0.229042,0.004
43,0.1149,0.101,0.228931,0.004
44,0.1126,0.099,0.228797,0.003
45,0.112,0.1,0.228655,0.003
46,0.1109,0.097,0.228481,0.003
47,0.1089,0.096,0.228299,0.003
48,0.1094,0.096,0.228104,0.003
49,0.1091,0.099,0.227876,0.004
50,0.1092,0.1,0.2276,0.004
51,0.1087,0.1,0.227284,0.003
52,0.1072,0.097,0.226927,0.003
53,0.1088,0.097,0.226575,0.003
54,0.1111,0.098,0.226137,0.003
55,0.1121,0.098,0.22562,0.003
56,0.1115,0.097,0.22501,0.003
57,0.1166,0.108,0.224409,0.003
58,0.1175,0.104,0.223597,0.003
59,0.1227,0.111,0.222839,0.003
60,0.1272,0.113,0.221941,0.003
61,0.1288,0.116,0.220957,0.004
62,0.1536,0.141,0.219914,0.003
63,0.1442,0.129,0.218767,0.003
64,0.1549,0.141,0.21759,0.003
65,0.1807,0.169,0.216517,0.003
66,0.1822,0.171,0.215443,0.003
67,0.1908,0.17,0.214299,0.003
68,0.184,0.168,0.213273,0.003
69,0.2111,0.19,0.212276,0.003
70,0.1959,0.18,0.211417,0.003
71,0.189,0.175,0.210566,0.003
72,0.1694,0.153,0.209706,0.003
73,0.1664,0.159,0.208902,0.003
74,0.1715,0.158,0.208102,0.003
75,0.1761,0.161,0.207356,0.003
76,0.1828,0.167,0.206582,0.003
77,0.1805,0.168,0.205854,0.003
78,0.1902,0.175,0.204999,0.003
79,0.2118,0.199,0.204147,0.003
80,0.1965,0.186,0.203259,0.003
81,0.2085,0.203,0.202242,0.003
82,0.2414,0.232,0.201188,0.003
83,0.2364,0.227,0.199949,0.003
84,0.2389,0.23,0.198684,0.003
85,0.261,0.248,0.197165,0.003
86,0.2665,0.26,0.195697,0.003
87,0.2653,0.25,0.193992,0.003
88,0.2679,0.25,0.192375,0.003
89,0.2777,0.261,0.190772,0.004
90,0.2829,0.269,0.189122,0.003
91,0.2882,0.27,0.187206,0.003
92,0.3017,0.286,0.185411,0.003
93,0.3077,0.29,0.183505,0.003
94,0.3087,0.294,0.181667,0.003
95,0.3183,0.299,0.179805,0.003
96,0.3272,0.303,0.177899,0.003
97,0.336,0.309,0.17593,0.003
98,0.3316,0.309,0.173828,0.003
99,0.3908,0.346,0.171747,0.003
100,0.3936,0.344,0.169555,0.003
101,0.4354,0.374,0.167326,0.003
102,0.4272,0.373,0.164975,0.003
103,0.4427,0.393,0.162364,0.003
104,0.4546,0.407,0.159813,0.003
105,0.4537,0.403,0.156741,0.003
106,0.475,0.432,0.153404,0.003
107,0.4796,0.445,0.15016,0.003
108,0.4763,0.445,0.147025,0.003
109,0.5309,0.497,0.143554,0.003
110,0.5602,0.542,0.139944,0.003
111,0.5827,0.57,0.136464,0.003
112,0.6079,0.596,0.132949,0.003
113,0.6018,0.584,0.129812,0.003
114,0.6082,0.593,0.126232,0.003
115,0.6191,0.604,0.123011,0.003
116,0.6363,0.617,0.120016,0.003
117,0.6334,0.605,0.117071,0.003
118,0.6531,0.625,0.114446,0.003
119,0.6489,0.621,0.111622,0.003
120,0.6653,0.635,0.109434,0.003
121,0.6672,0.638,0.107016,0.003
122,0.6702,0.634,0.10487,0.003
123,0.6716,0.641,0.103088,0.003
124,0.6792,0.644,0.10122,0.003
125,0.6776,0.649,0.099326,0.003
126,0.6828,0.647,0.097767,0.003
127,0.6916,0.657,0.096106,0.004
128,0.6829,0.654,0.095483,0.003
129,0.6943,0.654,0.093736,0.003
130,0.6994,0.664,0.092551,0.003
131,0.6992,0.661,0.091216,0.003
132,0.7065,0.669,0.090321,0.003
133,0.7028,0.67,0.089781,0.003
134,0.7027,0.667,0.088498,0.003
135,0.7136,0.673,0.087513,0.003
136,0.7143,0.679,0.086952,0.003
137,0.7136,0.685,0.086191,0.003
138,0.7137,0.678,0.085429,0.003
139,0.7226,0.68,0.084854,0.003
140,0.7206,0.679,0.084138,0.003
141,0.7218,0.678,0.083946,0.003
142,0.725,0.684,0.083059,0.003
143,0.7283,0.677,0.082443,0.003
144,0.7341,0.687,0.081833,0.003
145,0.7296,0.689,0.081237,0.003
146,0.7316,0.691,0.080784,0.003
147,0.7348,0.688,0.080623,0.003
148,0.7339,0.69,0.079952,0.003
149,0.7344,0.693,0.079983,0.003
150,0.7353,0.69,0.079183,0.003
151,0.7327,0.689,0.079442,0.003
152,0.7379,0.693,0.07865,0.003
153,0.7425,0.702,0.078173,0.003
154,0.7377,0.706,0.078631,0.003
155,0.7433,0.702,0.077396,0.003
156,0.7453,0.702,0.077522,0.003
157,0.747,0.712,0.076799,0.003
158,0.7451,0.709,0.076495,0.003
159,0.738,0.697,0.076655,0.003
160,0.7407,0.715,0.076405,0.003
161,0.7464,0.712,0.075828,0.003
162,0.7487,0.713,0.075672,0.003
163,0.7504,0.709,0.075255,0.003
164,0.7533,0.711,0.075524,0.003
165,0.7447,0.712,0.075298,0.003
166,0.7576,0.712,0.074422,0.003
167,0.7504,0.706,0.075661,0.003
168,0.7605,0.718,0.073675,0.003
169,0.7616,0.717,0.07388,0.003
170,0.7552,0.717,0.07463,0.003
171,0.7642,0.719,0.073446,0.003
172,0.7585,0.714,0.073701,0.003
173,0.7603,0.729,0.072883,0.003
174,0.7589,0.72,0.072808,0.003
175,0.7556,0.719,0.073107,0.003
176,0.7609,0.715,0.072669,0.003
177,0.765,0.723,0.072404,0.003
178,0.7555,0.714,0.072836,0.003
179,0.7632,0.731,0.072182,0.003
180,0.7643,0.731,0.071767,0.003
181,0.7656,0.733,0.07137,0.003
182,0.7645,0.723,0.071303,0.003
183,0.7657,0.73,0.071898,0.003
184,0.7677,0.73,0.071121,0.003
185,0.7669,0.727,0.07091,0.003
186,0.773,0.73,0.070101,0.003
187,0.7765,0.738,0.069792,0.003
188,0.7691,0.729,0.0706,0.003
189,0.7728,0.735,0.070434,0.003
190,0.773,0.738,0.070532,0.004
191,0.7769,0.735,0.06979,0.003
192,0.7814,0.738,0.068724,0.003
193,0.7801,0.745,0.06843,0.003
194,0.7823,0.741,0.06851,0.004
195,0.7787,0.74,0.068553,0.004
196,0.7764,0.751,0.068937,0.004
197,0.7826,0.755,0.067762,0.004
198,0.783,0.76,0.067729,0.003
199,0.7866,0.754,0.067284,0.003
200,0.7883,0.754,0.067056,0.003
201,0.7906,0.758,0.066077,0.003
202,0.7931,0.758,0.066261,0.003
203,0.7958,0.763,0.066083,0.003
204,0.7973,0.764,0.06505,0.003
205,0.7958,0.768,0.06481,0.003
206,0.8024,0.764,0.064576,0.003
207,0.8032,0.779,0.064199,0.004
208,0.8017,0.765,0.06358,0.003
209,0.8059,0.782,0.062831,0.003
210,0.8014,0.768,0.063123,0.003
211,0.8118,0.779,0.062361,0.003
212,0.8098,0.794,0.062016,0.003
213,0.8129,0.791,0.06151,0.003
214,0.8113,0.79,0.06118,0.003
215,0.8144,0.796,0.060375,0.004
216,0.8174,0.794,0.05974,0.004
217,0.8163,0.799,0.059694,0.004
218,0.8174,0.801,0.058801,0.004
219,0.8209,0.801,0.058572,0.003
220,0.8213,0.797,0.058435,0.003
221,0.822,0.796,0.058812,0.003
222,0.8295,0.801,0.05722,0.003
223,0.8245,0.806,0.057241,0.004
224,0.8206,0.805,0.057468,0.004
225,0.8288,0.812,0.056678,0.004
226,0.8281,0.806,0.055977,0.003
227,0.8288,0.812,0.056071,0.003
228,0.8307,0.81,0.056426,0.003
229,0.8329,0.814,0.055563,0.003
230,0.8333,0.81,0.055346,0.003
231,0.8316,0.814,0.054857,0.003
232,0.835,0.815,0.054244,0.003
233,0.8353,0.816,0.054111,0.003
234,0.835,0.824,0.053989,0.003
235,0.8319,0.81,0.053844,0.003
