step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.919,0.000000e+00,1.480955e-03,0.382,0.6479,0,6,104,1959,100,100
1,2159,2160,0.000463,0.919,0.000000e+00,2.501283e-03,0.3817,0.0222,0,6,72,1958,100,100
2,2158,2160,0.000926,0.919,0.000000e+00,4.500712e-03,0.3856,0.0231,2,6,0,1958,100,99
3,2157,2160,0.001389,0.919,0.000000e+00,5.690014e-05,0.3897,0.0233,0,6,0,1957,100,99
4,2156,2160,0.001852,0.919,0.000000e+00,1.851951e-02,0.386,0.0222,2,9,0,1957,100,98
5,2155,2160,0.002315,0.919,0.000000e+00,1.018173e-03,0.3624,0.0225,0,6,74,1956,100,98
6,2154,2160,0.002778,0.919,0.000000e+00,5.887838e-03,0.3596,0.0202,2,3,0,1956,100,97
7,2153,2160,0.003241,0.919,0.000000e+00,7.472119e-03,0.3528,0.0217,0,6,41,1955,100,97
8,2152,2160,0.003704,0.919,0.000000e+00,1.043693e-02,0.36,0.0202,0,6,109,1954,100,97
9,2151,2160,0.004167,0.919,0.000000e+00,1.208534e-02,0.3647,0.0206,0,6,174,1953,100,97
10,2150,2160,0.00463,0.919,0.000000e+00,6.786432e-03,0.4142,0.0203,0,6,110,1952,100,97
11,2149,2160,0.005093,0.919,0.000000e+00,1.957576e-03,0.3589,0.023,0,6,42,1951,100,97
12,2148,2160,0.005556,0.919,0.000000e+00,1.158009e-02,0.3577,0.022,2,7,0,1951,100,96
13,2147,2160,0.006019,0.919,0.000000e+00,2.355464e-03,0.3581,0.0198,2,8,0,1951,100,95
14,2146,2160,0.006481,0.919,0.000000e+00,7.698932e-03,0.3589,0.0215,1,0,1,1951,99,95
15,2145,2160,0.006944,0.919,0.000000e+00,3.624342e-03,0.3566,0.021,0,6,9,1950,99,95
16,2144,2160,0.007407,0.919,0.000000e+00,1.368504e-02,0.3547,0.0205,0,6,145,1949,99,95
17,2143,2160,0.00787,0.919,0.000000e+00,1.492972e-02,0.3588,0.0206,0,6,179,1948,99,95
18,2142,2160,0.008333,0.919,0.000000e+00,1.127364e-02,0.3575,0.0205,0,6,44,1947,99,95
19,2141,2160,0.008796,0.919,0.000000e+00,1.708693e-02,0.3613,0.0212,0,6,45,1946,99,95
20,2140,2160,0.009259,0.918,0.000000e+00,6.806981e-03,0.3599,0.0209,0,6,80,1945,99,95
21,2139,2160,0.009722,0.918,0.000000e+00,7.563566e-03,0.3532,0.0206,0,6,149,1944,99,95
22,2138,2160,0.010185,0.918,0.000000e+00,2.268990e-02,0.359,0.0227,0,6,116,1943,99,95
23,2137,2160,0.010648,0.918,0.000000e+00,9.969975e-03,0.3593,0.0203,0,6,117,1942,99,95
24,2136,2160,0.011111,0.918,0.000000e+00,7.034462e-03,0.3614,0.0196,0,6,186,1941,99,95
25,2135,2160,0.011574,0.918,0.000000e+00,1.029076e-02,0.3568,0.0197,0,6,46,1940,99,95
26,2134,2160,0.012037,0.919,0.000000e+00,1.414274e-02,0.3602,0.0201,0,6,82,1939,99,95
27,2133,2160,0.0125,0.919,0.000000e+00,1.856592e-02,0.3523,0.0216,0,6,47,1938,99,95
28,2132,2160,0.012963,0.919,0.000000e+00,9.958846e-03,0.353,0.0204,0,6,155,1937,99,95
29,2131,2160,0.013426,0.919,0.000000e+00,7.724881e-03,0.3584,0.0207,0,6,10,1936,99,95
30,2130,2160,0.013889,0.919,0.000000e+00,1.254793e-02,0.3604,0.021,0,6,122,1935,99,95
31,2129,2160,0.014352,0.919,0.000000e+00,1.110323e-02,0.36,0.0204,0,6,1,1934,99,95
32,2128,2160,0.014815,0.919,0.000000e+00,1.097700e-02,0.354,0.0204,0,6,124,1933,99,95
33,2127,2160,0.015278,0.919,0.000000e+00,3.422900e-03,0.351,0.0224,0,6,2,1932,99,95
34,2126,2160,0.015741,0.919,0.000000e+00,4.974941e-03,0.3502,0.0192,0,6,3,1931,99,95
35,2125,2160,0.016204,0.919,0.000000e+00,2.078295e-02,0.3599,0.0198,0,6,162,1930,99,95
36,2124,2160,0.016667,0.919,0.000000e+00,3.843073e-03,0.3545,0.0201,0,6,127,1929,99,95
37,2123,2160,0.01713,0.919,0.000000e+00,7.395717e-03,0.3503,0.0222,0,6,88,1928,99,95
38,2122,2160,0.017593,0.919,0.000000e+00,4.926684e-03,0.3594,0.0203,0,6,129,1927,99,95
39,2121,2160,0.018056,0.919,0.000000e+00,6.619407e-03,0.3506,0.0222,0,6,14,1926,99,95
40,2120,2160,0.018519,0.919,0.000000e+00,1.213098e-02,0.3546,0.0213,1,9,6,1926,98,95
41,2119,2160,0.018981,0.919,0.000000e+00,8.283318e-03,0.3512,0.0211,0,6,90,1925,98,95
42,2118,2160,0.019444,0.919,0.000000e+00,1.337237e-02,0.3561,0.0206,0,6,168,1924,98,95
43,2117,2160,0.019907,0.919,0.000000e+00,8.480450e-03,0.3492,0.0207,0,6,91,1923,98,95
44,2116,2160,0.02037,0.919,0.000000e+00,1.456102e-02,0.3621,0.021,2,0,0,1923,98,94
45,2115,2160,0.020833,0.919,0.000000e+00,5.420557e-03,0.3544,0.0215,0,6,170,1922,98,94
46,2114,2160,0.021296,0.919,0.000000e+00,1.901075e-03,0.3569,0.0208,0,6,171,1921,98,94
47,2113,2160,0.021759,0.919,0.000000e+00,9.963560e-04,0.3536,0.0208,0,6,53,1920,98,94
48,2112,2160,0.022222,0.919,0.000000e+00,2.996755e-03,0.3515,0.0216,0,6,173,1919,98,94
49,2111,2160,0.022685,0.919,0.000000e+00,1.326744e-02,0.3492,0.0213,0,6,175,1918,98,94
50,2110,2160,0.023148,0.919,0.000000e+00,9.660163e-03,0.3525,0.0194,0,6,54,1917,98,94
51,2109,2160,0.023611,0.919,0.000000e+00,1.296467e-02,0.3568,0.0229,2,1,0,1917,98,93
52,2108,2160,0.024074,0.919,0.000000e+00,6.508016e-04,0.3511,0.0204,0,6,15,1916,98,93
53,2107,2160,0.024537,0.919,0.000000e+00,1.062174e-02,0.3561,0.0208,0,6,16,1915,98,93
54,2106,2160,0.025,0.919,0.000000e+00,8.918956e-04,0.3529,0.0199,0,6,137,1914,98,93
55,2105,2160,0.025463,0.919,0.000000e+00,5.703423e-03,0.358,0.0208,0,6,138,1913,98,93
56,2104,2160,0.025926,0.919,0.000000e+00,7.812806e-03,0.3517,0.0209,0,6,17,1912,98,93
57,2103,2160,0.026389,0.919,0.000000e+00,6.862869e-04,0.3615,0.0219,0,6,140,1911,98,93
58,2102,2160,0.026852,0.919,0.000000e+00,8.746005e-04,0.3518,0.0228,2,5,0,1911,98,92
59,2101,2160,0.027315,0.919,0.000000e+00,1.038091e-02,0.3616,0.0187,0,6,142,1910,98,92
60,2100,2160,0.027778,0.919,0.000000e+00,1.980859e-02,0.354,0.0218,0,6,97,1909,98,92
61,2099,2160,0.028241,0.919,0.000000e+00,6.255504e-03,0.3637,0.023,0,6,146,1908,98,92
62,2098,2160,0.028704,0.919,0.000000e+00,1.621527e-02,0.3533,0.0195,0,6,98,1907,98,92
63,2097,2160,0.029167,0.919,0.000000e+00,7.582325e-04,0.355,0.0204,0,6,189,1906,98,92
64,2096,2160,0.02963,0.919,0.000000e+00,2.484162e-03,0.3511,0.0202,0,6,4,1905,98,92
65,2095,2160,0.030093,0.919,0.000000e+00,1.432039e-02,0.352,0.0214,0,6,5,1904,98,92
66,2094,2160,0.030556,0.919,0.000000e+00,1.857210e-03,0.3557,0.019,1,0,0,1904,97,92
67,2093,2160,0.031019,0.919,0.000000e+00,1.830211e-03,0.3515,0.0219,0,6,20,1903,97,92
68,2092,2160,0.031481,0.919,0.000000e+00,7.584657e-03,0.3529,0.0194,0,6,61,1902,97,92
69,2091,2160,0.031944,0.919,0.000000e+00,9.707904e-05,0.3523,0.0197,0,6,6,1901,97,92
70,2090,2160,0.032407,0.919,0.000000e+00,8.654597e-04,0.3533,0.0214,0,6,105,1900,97,92
71,2089,2160,0.03287,0.919,0.000000e+00,1.504595e-02,0.3467,0.0214,0,6,22,1899,97,92
72,2088,2160,0.033333,0.919,0.000000e+00,9.247565e-04,0.3538,0.0229,0,6,23,1898,97,92
73,2087,2160,0.033796,0.919,0.000000e+00,5.620182e-03,0.3549,0.0211,0,6,156,1897,97,92
74,2086,2160,0.034259,0.919,0.000000e+00,3.954653e-03,0.3539,0.0202,0,6,108,1896,97,92
75,2085,2160,0.034722,0.919,0.000000e+00,4.294422e-03,0.3523,0.0212,0,6,158,1895,97,92
76,2084,2160,0.035185,0.919,0.000000e+00,7.509282e-03,0.3485,0.0213,0,6,65,1894,97,92
77,2083,2160,0.035648,0.919,0.000000e+00,1.925284e-03,0.3501,0.0211,0,6,24,1893,97,92
78,2082,2160,0.036111,0.919,0.000000e+00,2.802229e-03,0.3531,0.02,0,6,113,1892,97,92
79,2081,2160,0.036574,0.919,0.000000e+00,7.531303e-03,0.3488,0.0213,0,6,7,1891,97,92
80,2080,2160,0.037037,0.919,0.000000e+00,3.481690e-03,0.3513,0.0198,0,6,8,1890,97,92
81,2079,2160,0.0375,0.919,0.000000e+00,2.017416e-02,0.3497,0.0211,0,6,27,1889,97,92
82,2078,2160,0.037963,0.919,0.000000e+00,6.738962e-03,0.3634,0.0201,0,6,119,1888,97,92
83,2077,2160,0.038426,0.919,0.000000e+00,1.626301e-02,0.3494,0.0193,0,6,11,1887,97,92
84,2076,2160,0.038889,0.919,0.000000e+00,1.459799e-02,0.3549,0.023,0,6,169,1886,97,92
85,2075,2160,0.039352,0.919,0.000000e+00,1.198844e-02,0.3476,0.0199,0,6,12,1885,97,92
86,2074,2160,0.039815,0.919,0.000000e+00,7.017918e-03,0.353,0.0204,0,6,30,1884,97,92
87,2073,2160,0.040278,0.919,0.000000e+00,1.337191e-02,0.3483,0.0229,0,6,125,1883,97,92
88,2072,2160,0.040741,0.919,0.000000e+00,9.800356e-03,0.351,0.0197,0,6,13,1882,97,92
89,2071,2160,0.041204,0.919,0.000000e+00,2.391449e-03,0.3555,0.0201,0,6,18,1881,97,92
90,2070,2160,0.041667,0.919,0.000000e+00,4.731194e-03,0.3498,0.0243,0,6,181,1880,97,92
91,2069,2160,0.04213,0.919,0.000000e+00,8.903953e-03,0.3497,0.0215,0,6,77,1879,97,92
