epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.1013,0.078,0.230231,0.436
1,0.1028,0.078,0.230222,0.004
2,0.1056,0.081,0.230215,0.003
3,0.1072,0.085,0.230207,0.003
4,0.1086,0.089,0.230199,0.003
5,0.1111,0.088,0.230191,0.003
6,0.1116,0.09,0.230182,0.003
7,0.1118,0.091,0.230174,0.003
8,0.1154,0.095,0.230164,0.003
9,0.1182,0.097,0.230154,0.003
10,0.1202,0.101,0.230144,0.004
11,0.1228,0.1,0.230132,0.003
12,0.1254,0.101,0.230121,0.003
13,0.1269,0.107,0.23011,0.003
14,0.1288,0.107,0.230097,0.003
15,0.1315,0.11,0.230085,0.003
16,0.1331,0.113,0.230071,0.003
17,0.1335,0.109,0.230055,0.003
18,0.135,0.11,0.230039,0.003
19,0.1346,0.114,0.230022,0.003
20,0.1334,0.116,0.230004,0.003
21,0.1322,0.12,0.229985,0.003
22,0.1334,0.118,0.229964,0.003
23,0.1349,0.12,0.229944,0.003
24,0.1356,0.111,0.229921,0.003
25,0.1335,0.112,0.229896,0.003
26,0.1295,0.112,0.229865,0.004
27,0.1288,0.108,0.229835,0.003
28,0.1296,0.108,0.229806,0.003
29,0.127,0.111,0.229769,0.003
30,0.1261,0.109,0.229732,0.003
31,0.1263,0.11,0.229694,0.003
32,0.1239,0.108,0.229647,0.003
33,0.123,0.103,0.229603,0.003
34,0.121,0.101,0.229547,0.003
35,0.1194,0.102,0.229492,0.003
36,0.1176,0.101,0.229424,0.003
37,0.1162,0.1,0.229357,0.003
38,0.1143,0.098,0.229274,0.003
39,0.1129,0.096,0.229186,0.003
40,0.1116,0.096,0.22909,0.003
41,0.1107,0.095,0.228983,0.003
42,0.1098,0.093,0.228852,0.003
43,0.1092,0.091,0.228719,0.003
44,0.1089,0.091,0.228572,0.003
45,0.1085,0.092,0.228404,0.004
46,0.1084,0.092,0.228209,0.003
47,0.1068,0.09,0.227967,0.003
48,0.1068,0.09,0.22772,0.003
49,0.1062,0.092,0.227394,0.003
50,0.1053,0.092,0.227005,0.003
51,0.1049,0.093,0.226581,0.004
52,0.1065,0.095,0.226118,0.003
53,0.1076,0.095,0.225576,0.003
54,0.1133,0.099,0.225039,0.003
55,0.1166,0.104,0.224434,0.003
56,0.1153,0.104,0.223602,0.003
57,0.117,0.107,0.22271,0.003
58,0.1207,0.106,0.221807,0.003
59,0.1277,0.11,0.220857,0.003
60,0.1318,0.116,0.219782,0.004
61,0.136,0.121,0.218761,0.003
62,0.1391,0.126,0.217697,0.003
63,0.1463,0.135,0.216707,0.003
64,0.1537,0.145,0.215607,0.003
65,0.1774,0.166,0.214592,0.003
66,0.2117,0.191,0.213561,0.003
67,0.2219,0.198,0.212606,0.003
68,0.2251,0.198,0.211672,0.003
69,0.2338,0.196,0.210797,0.003
70,0.2098,0.182,0.209927,0.003
71,0.2086,0.191,0.209224,0.003
72,0.2087,0.191,0.208415,0.003
73,0.2447,0.214,0.207728,0.003
74,0.2174,0.2,0.207002,0.003
75,0.1974,0.187,0.206268,0.004
76,0.185,0.168,0.205453,0.004
77,0.2069,0.192,0.204671,0.004
78,0.2262,0.212,0.203801,0.004
79,0.2103,0.199,0.202914,0.003
80,0.2132,0.203,0.201887,0.003
81,0.2558,0.241,0.200856,0.003
82,0.2633,0.245,0.199702,0.003
83,0.2283,0.216,0.198435,0.003
84,0.2304,0.218,0.197084,0.003
85,0.2374,0.226,0.195612,0.003
86,0.2651,0.245,0.194155,0.003
87,0.2684,0.247,0.192376,0.003
88,0.2725,0.252,0.190594,0.003
89,0.2655,0.246,0.188945,0.003
90,0.284,0.266,0.187216,0.003
91,0.3036,0.289,0.185359,0.003
92,0.3028,0.285,0.18375,0.004
93,0.3076,0.29,0.181943,0.004
94,0.3096,0.293,0.180296,0.003
95,0.3636,0.33,0.178556,0.003
96,0.3616,0.331,0.176707,0.003
97,0.3607,0.323,0.174834,0.003
98,0.4275,0.375,0.172877,0.003
99,0.4293,0.378,0.170833,0.003
100,0.4284,0.378,0.168573,0.003
101,0.4385,0.393,0.166337,0.003
102,0.4379,0.399,0.163809,0.003
103,0.4453,0.4,0.161104,0.003
104,0.4623,0.416,0.158354,0.003
105,0.4752,0.424,0.155319,0.003
106,0.4889,0.436,0.152264,0.003
107,0.4983,0.45,0.148814,0.003
108,0.5207,0.497,0.145622,0.003
109,0.549,0.532,0.142512,0.003
110,0.5932,0.568,0.138696,0.003
111,0.5984,0.579,0.135011,0.003
112,0.5938,0.585,0.131517,0.003
113,0.608,0.589,0.128074,0.003
114,0.6393,0.613,0.124608,0.003
115,0.6342,0.608,0.121886,0.003
116,0.6477,0.613,0.118549,0.003
117,0.6552,0.62,0.1155,0.003
118,0.656,0.623,0.112804,0.003
119,0.6527,0.621,0.110333,0.003
120,0.661,0.632,0.107666,0.003
121,0.6726,0.633,0.105571,0.004
122,0.6741,0.638,0.103605,0.004
123,0.6803,0.645,0.101783,0.003
124,0.6878,0.65,0.100005,0.003
125,0.683,0.647,0.098185,0.003
126,0.68,0.649,0.096544,0.003
127,0.6921,0.662,0.095071,0.003
128,0.6819,0.647,0.09413,0.004
129,0.6894,0.655,0.092704,0.004
130,0.6949,0.67,0.09245,0.003
131,0.7086,0.668,0.090396,0.004
132,0.7083,0.677,0.089301,0.003
133,0.703,0.675,0.089193,0.003
134,0.7122,0.679,0.087476,0.003
135,0.7077,0.673,0.087399,0.003
136,0.7148,0.689,0.08602,0.003
137,0.7185,0.684,0.085209,0.003
138,0.7219,0.684,0.084683,0.003
139,0.7189,0.679,0.084438,0.003
140,0.7274,0.688,0.083261,0.003
141,0.7214,0.689,0.083042,0.003
142,0.7228,0.689,0.082309,0.004
143,0.7268,0.686,0.082255,0.003
144,0.7262,0.696,0.082098,0.003
145,0.726,0.689,0.081233,0.003
146,0.7291,0.691,0.081194,0.003
147,0.7343,0.688,0.080666,0.003
148,0.7353,0.703,0.079161,0.003
149,0.74,0.699,0.07884,0.004
150,0.7383,0.705,0.078484,0.003
151,0.7395,0.709,0.078281,0.003
152,0.7453,0.707,0.077849,0.003
153,0.7389,0.706,0.078007,0.004
154,0.7425,0.708,0.077334,0.004
155,0.7474,0.709,0.077222,0.004
156,0.7441,0.704,0.076691,0.003
157,0.7325,0.696,0.077825,0.004
158,0.7418,0.7,0.076248,0.004
159,0.7461,0.702,0.076376,0.003
160,0.7482,0.719,0.075435,0.003
161,0.7488,0.713,0.076387,0.003
162,0.7458,0.712,0.076298,0.003
163,0.7517,0.727,0.074821,0.003
164,0.7521,0.713,0.074775,0.004
165,0.7499,0.707,0.074735,0.004
166,0.7571,0.716,0.074279,0.004
167,0.7552,0.711,0.073816,0.004
168,0.7607,0.718,0.073901,0.003
169,0.7567,0.721,0.073746,0.003
170,0.7622,0.72,0.073006,0.003
171,0.76,0.722,0.073012,0.003
172,0.7585,0.715,0.073118,0.003
173,0.7617,0.726,0.073116,0.003
174,0.7577,0.713,0.073174,0.003
175,0.7674,0.717,0.072597,0.003
176,0.7533,0.709,0.073251,0.003
177,0.7611,0.724,0.072184,0.003
178,0.7641,0.723,0.071805,0.003
179,0.7684,0.723,0.072056,0.003
180,0.7616,0.725,0.071503,0.003
181,0.7584,0.734,0.071964,0.003
182,0.7685,0.73,0.071384,0.003
183,0.7624,0.733,0.071307,0.003
184,0.7689,0.73,0.070815,0.003
185,0.7558,0.73,0.071677,0.003
186,0.7735,0.738,0.070228,0.003
187,0.7703,0.735,0.070517,0.003
188,0.7681,0.743,0.070305,0.004
189,0.7616,0.739,0.070507,0.003
190,0.7755,0.733,0.069791,0.003
191,0.776,0.739,0.06918,0.003
192,0.7711,0.729,0.069512,0.003
193,0.7757,0.732,0.069237,0.003
194,0.7672,0.732,0.069654,0.003
195,0.7742,0.744,0.068674,0.003
196,0.7807,0.737,0.069157,0.003
197,0.7812,0.739,0.06828,0.003
198,0.7807,0.742,0.06847,0.003
199,0.7836,0.743,0.067519,0.003
200,0.7832,0.75,0.067303,0.003
201,0.7836,0.746,0.067077,0.003
202,0.7771,0.729,0.068347,0.003
203,0.7877,0.754,0.06657,0.003
204,0.7894,0.754,0.066862,0.003
205,0.7898,0.759,0.066025,0.003
206,0.7933,0.765,0.065894,0.003
207,0.7886,0.751,0.065746,0.003
208,0.7983,0.766,0.065057,0.003
209,0.7987,0.768,0.064586,0.003
210,0.8029,0.766,0.06419,0.003
211,0.8021,0.765,0.064002,0.003
212,0.7947,0.765,0.063979,0.003
213,0.805,0.772,0.062953,0.003
214,0.8079,0.782,0.062564,0.003
215,0.8081,0.776,0.062284,0.003
216,0.8147,0.797,0.061679,0.003
217,0.8029,0.775,0.062032,0.003
218,0.8127,0.794,0.061552,0.003
219,0.8112,0.786,0.060809,0.003
220,0.8166,0.797,0.059645,0.003
221,0.821,0.796,0.059239,0.003
222,0.8105,0.779,0.060066,0.003
223,0.8227,0.813,0.058312,0.003
224,0.8231,0.797,0.058468,0.003
225,0.8266,0.806,0.057699,0.003
226,0.829,0.805,0.057342,0.003
227,0.8272,0.814,0.057074,0.003
228,0.8262,0.8,0.057301,0.003
229,0.8293,0.815,0.056432,0.003
230,0.8309,0.81,0.055797,0.003
231,0.8283,0.813,0.056259,0.003
232,0.8207,0.811,0.056957,0.003
233,0.831,0.808,0.055519,0.003
234,0.8298,0.815,0.054643,0.004
235,0.8343,0.821,0.054349,0.003
236,0.8332,0.819,0.054583,0.004
237,0.8314,0.814,0.054158,0.003
238,0.8362,0.818,0.0539,0.003
239,0.8345,0.828,0.05349,0.003
240,0.8409,0.823,0.053046,0.003
241,0.8405,0.823,0.053044,0.003
242,0.8383,0.828,0.053323,0.004
243,0.8448,0.825,0.052317,0.003
244,0.8437,0.827,0.052102,0.003
