step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,2.643293e-02,4.143,1.1176,0,6,104,1959,100,100
1,2159,2160,0.000463,0.917,4.031884e+01,3.578134e-02,3.5444,1.3123,0,6,169,1958,100,100
2,2158,2160,0.000926,0.916,5.421714e+01,3.233102e-02,3.5066,1.1789,0,5,42,1957,100,100
3,2157,2160,0.001389,0.915,7.778997e+01,7.595226e-02,3.61,1.4878,0,6,11,1956,100,100
4,2156,2160,0.001852,0.915,8.107623e+01,2.743189e-02,3.4658,1.3255,0,8,90,1955,100,100
5,2155,2160,0.002315,0.917,6.920859e+01,3.129070e-02,3.4601,1.1453,0,2,195,1954,100,100
6,2154,2160,0.002778,0.916,6.176402e+01,2.690442e-02,3.4966,1.4757,0,0,158,1953,100,100
7,2153,2160,0.003241,0.917,6.406815e+01,2.924187e-02,3.5106,1.3335,0,4,55,1952,100,100
8,2152,2160,0.003704,0.918,6.735052e+01,2.847786e-02,3.4772,1.1251,0,9,75,1951,100,100
9,2151,2160,0.004167,0.915,6.020758e+01,3.219807e-02,3.6253,1.8047,0,6,142,1950,100,100
10,2150,2160,0.00463,0.915,8.285019e+01,3.090907e-02,3.5716,1.4369,0,6,110,1949,100,100
11,2149,2160,0.005093,0.915,6.086643e+01,2.999759e-02,3.602,1.387,0,4,71,1948,100,100
12,2148,2160,0.005556,0.916,7.381924e+01,3.072605e-02,3.5433,1.4718,0,1,193,1947,100,100
13,2147,2160,0.006019,0.915,8.749435e+01,3.636486e-02,3.5481,1.3363,2,4,0,1947,100,99
14,2146,2160,0.006481,0.915,9.988983e+01,3.130067e-02,3.4814,1.3672,0,6,79,1946,100,99
15,2145,2160,0.006944,0.913,7.514931e+01,2.818200e-02,3.4862,1.3036,0,6,15,1945,100,99
16,2144,2160,0.007407,0.915,8.335672e+01,2.540522e-02,3.5858,1.7423,0,8,19,1944,100,99
17,2143,2160,0.00787,0.914,7.567541e+01,2.677376e-02,3.4975,1.4336,0,3,142,1943,100,99
18,2142,2160,0.008333,0.909,9.825375e+03,4.569474e-02,3.5453,1.213,0,8,113,1942,100,99
19,2141,2160,0.008796,0.912,3.444441e+02,3.909594e-02,3.5184,1.3777,0,6,17,1941,100,99
20,2140,2160,0.009259,0.911,1.450968e+03,3.219693e-02,3.5028,1.4779,0,7,162,1940,100,99
21,2139,2160,0.009722,0.909,3.098669e+02,2.609360e-02,3.5193,1.4298,1,2,0,1940,99,99
22,2138,2160,0.010185,0.909,4.070811e+02,1.889066e-02,3.5075,1.4551,0,8,47,1939,99,99
23,2137,2160,0.010648,0.91,2.853919e+02,3.447623e-02,3.4746,1.1497,0,6,50,1938,99,99
24,2136,2160,0.011111,0.909,2.645535e+02,3.718597e-02,3.504,1.2717,0,6,184,1937,99,99
25,2135,2160,0.011574,0.911,2.558386e+02,3.435137e-02,3.5458,1.3741,0,6,18,1936,99,99
26,2134,2160,0.012037,0.911,2.557375e+02,3.206890e-02,3.511,1.2163,0,6,152,1935,99,99
27,2133,2160,0.0125,0.908,4.706911e+02,2.697378e-02,3.4963,1.2818,0,0,130,1934,99,99
28,2132,2160,0.012963,0.906,2.666365e+02,2.926187e-02,3.5014,1.727,0,7,127,1933,99,99
29,2131,2160,0.013426,0.902,2.325733e+02,2.513031e-02,3.7155,1.1182,0,5,63,1932,99,99
30,2130,2160,0.013889,0.906,2.620097e+02,3.051352e-02,3.465,1.1895,0,6,189,1931,99,99
31,2129,2160,0.014352,0.906,2.356527e+02,2.292212e-02,3.5485,1.6074,0,8,57,1930,99,99
32,2128,2160,0.014815,0.904,2.636693e+02,2.442081e-02,3.452,1.1173,0,7,82,1929,99,99
