epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.116,0.135,0.229073,0.547
1,0.2064,0.211,0.226128,0.004
2,0.2581,0.239,0.223207,0.003
3,0.3097,0.292,0.220103,0.004
4,0.457,0.457,0.216718,0.003
5,0.5361,0.543,0.212782,0.003
6,0.6419,0.653,0.208381,0.003
7,0.6482,0.644,0.203093,0.003
8,0.6595,0.66,0.197248,0.003
9,0.6815,0.671,0.190578,0.003
10,0.6765,0.674,0.183114,0.003
11,0.713,0.71,0.174691,0.003
12,0.7299,0.735,0.165581,0.003
13,0.7489,0.763,0.155881,0.003
14,0.7491,0.751,0.146184,0.003
15,0.7645,0.765,0.136493,0.003
16,0.7746,0.768,0.127401,0.003
17,0.788,0.777,0.118952,0.003
18,0.8122,0.806,0.111063,0.003
19,0.7986,0.788,0.104394,0.003
20,0.809,0.798,0.098006,0.003
21,0.8178,0.811,0.092137,0.003
22,0.8171,0.806,0.087442,0.003
23,0.8159,0.812,0.083197,0.003
24,0.8276,0.815,0.079267,0.003
25,0.8265,0.807,0.076075,0.004
26,0.8372,0.82,0.072992,0.003
27,0.8282,0.808,0.070792,0.003
28,0.8416,0.826,0.068245,0.003
29,0.8467,0.829,0.065826,0.003
30,0.8479,0.835,0.063772,0.003
31,0.8466,0.836,0.062234,0.003
32,0.8524,0.842,0.060538,0.003
33,0.8517,0.835,0.059035,0.003
34,0.8558,0.842,0.057778,0.003
35,0.8579,0.846,0.056402,0.003
36,0.8628,0.85,0.055228,0.003
37,0.8604,0.846,0.054422,0.003
38,0.8585,0.845,0.053123,0.003
39,0.8645,0.844,0.052357,0.003
40,0.8661,0.852,0.051523,0.003
41,0.8634,0.858,0.050873,0.003
42,0.8671,0.86,0.049721,0.004
43,0.8684,0.856,0.049215,0.003
44,0.8679,0.853,0.049047,0.003
45,0.868,0.844,0.048652,0.003
46,0.8714,0.851,0.04773,0.004
47,0.8731,0.861,0.046763,0.004
48,0.8736,0.859,0.04631,0.004
49,0.8753,0.859,0.045819,0.003
50,0.8762,0.869,0.045405,0.003
51,0.8764,0.861,0.044722,0.003
52,0.8773,0.861,0.044297,0.003
53,0.8788,0.866,0.0438,0.003
54,0.8797,0.868,0.04343,0.003
55,0.8794,0.862,0.04336,0.003
56,0.8833,0.87,0.042874,0.003
57,0.8823,0.873,0.04221,0.003
58,0.8829,0.873,0.042008,0.003
59,0.8818,0.873,0.041743,0.003
60,0.8825,0.872,0.04143,0.003
61,0.8852,0.873,0.040923,0.003
62,0.8853,0.881,0.040715,0.003
63,0.8886,0.87,0.040289,0.003
64,0.8892,0.871,0.039755,0.003
65,0.8905,0.878,0.039537,0.003
66,0.8894,0.877,0.039379,0.004
67,0.8903,0.874,0.039094,0.003
68,0.8902,0.877,0.038889,0.004
69,0.8913,0.876,0.038569,0.004
70,0.8916,0.885,0.03847,0.003
71,0.8911,0.875,0.038072,0.003
72,0.8908,0.876,0.037953,0.003
73,0.8943,0.874,0.037712,0.003
74,0.8928,0.877,0.037675,0.003
75,0.8944,0.874,0.037349,0.003
76,0.8925,0.868,0.037383,0.003
77,0.893,0.874,0.03693,0.003
78,0.8936,0.883,0.036989,0.003
79,0.8968,0.886,0.036438,0.003
80,0.8972,0.883,0.036455,0.003
81,0.8971,0.885,0.036282,0.003
82,0.8983,0.881,0.035976,0.003
83,0.8973,0.882,0.035723,0.003
84,0.8983,0.885,0.035425,0.003
85,0.8975,0.885,0.0358,0.004
86,0.8969,0.88,0.035166,0.003
87,0.8993,0.884,0.035434,0.003
88,0.8999,0.888,0.035355,0.003
89,0.9001,0.885,0.034866,0.004
90,0.9002,0.892,0.034565,0.003
91,0.9027,0.887,0.034401,0.003
92,0.9005,0.879,0.034233,0.003
93,0.9001,0.883,0.034088,0.004
94,0.8999,0.885,0.033911,0.004
95,0.9011,0.892,0.034058,0.003
96,0.9028,0.885,0.033479,0.004
97,0.9032,0.893,0.03362,0.003
98,0.9011,0.893,0.033745,0.003
99,0.9039,0.893,0.033389,0.003
