step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ
0,2060,2060,0.0,0.927,0.000000e+00,1.575273e-06,0.8031,3.8263,0,3,2,1959,100
1,2059,2060,0.000485,0.927,5.762858e-06,5.585904e-05,0.2203,3.0096,0,2,116,1958,100
2,2058,2060,0.000971,0.927,2.007734e-04,1.369635e-04,0.2155,2.9956,0,2,6,1957,100
3,2057,2060,0.001456,0.927,1.317930e-03,3.137283e-05,0.2118,2.9876,0,8,99,1956,100
4,2056,2060,0.001942,0.927,3.176561e-03,7.608594e-05,0.211,2.9918,0,5,12,1955,100
5,2055,2060,0.002427,0.927,5.232377e-03,2.437805e-04,0.2085,3.0087,0,2,57,1954,100
6,2054,2060,0.002913,0.927,1.055173e-02,2.798783e-05,0.2152,2.9993,0,7,135,1953,100
7,2053,2060,0.003398,0.927,1.445562e-02,2.440776e-04,0.2193,2.987,0,2,36,1952,100
8,2052,2060,0.003883,0.927,2.088314e-02,1.263511e-04,0.2205,3.0023,0,5,181,1951,100
9,2051,2060,0.004369,0.927,2.832859e-02,6.181115e-05,0.2174,3.003,0,1,195,1950,100
10,2050,2060,0.004854,0.927,3.837105e-02,4.093156e-04,0.2145,2.996,0,2,4,1949,100
11,2049,2060,0.00534,0.927,5.188427e-02,7.138341e-05,0.2241,3.0064,0,6,55,1948,100
12,2048,2060,0.005825,0.927,6.569418e-02,5.853499e-04,0.217,2.9957,0,2,42,1947,100
13,2047,2060,0.006311,0.927,8.544844e-02,6.125309e-04,0.2206,2.9956,0,2,156,1946,100
14,2046,2060,0.006796,0.927,1.080456e-01,1.845680e-03,0.2149,3.0022,1,9,5,1946,99
15,2045,2060,0.007282,0.927,2.143856e-01,2.611468e-04,0.2089,3.0016,0,5,4,1945,99
16,2044,2060,0.007767,0.927,2.400587e-01,7.126194e-04,0.2123,3.0044,0,2,84,1944,99
17,2043,2060,0.008252,0.927,2.457641e-01,1.061325e-04,0.2185,2.9937,0,3,167,1943,99
18,2042,2060,0.008738,0.927,2.657367e-01,7.692011e-04,0.2112,3.0017,0,2,44,1942,99
19,2041,2060,0.009223,0.927,3.143164e-01,8.939288e-04,0.2154,3.0062,0,2,140,1941,99
20,2040,2060,0.009709,0.927,3.724381e-01,6.919243e-04,0.209,3.0015,0,2,14,1940,99
21,2039,2060,0.010194,0.927,4.185181e-01,1.717785e-04,0.2069,2.9925,0,0,36,1939,99
22,2038,2060,0.01068,0.927,4.582268e-01,1.346659e-04,0.2148,2.9957,0,3,103,1938,99
23,2037,2060,0.011165,0.927,4.865599e-01,4.331378e-04,0.2182,2.9895,0,5,21,1937,99
24,2036,2060,0.01165,0.927,5.516494e-01,5.035429e-04,0.2116,2.9974,0,5,57,1936,99
25,2035,2060,0.012136,0.927,6.304876e-01,1.148627e-03,0.2129,2.9948,0,2,43,1935,99
26,2034,2060,0.012621,0.927,7.571484e-01,1.145268e-03,0.214,2.997,0,2,141,1934,99
27,2033,2060,0.013107,0.927,8.311756e-01,1.241450e-03,0.2176,3.005,0,2,169,1933,99
28,2032,2060,0.013592,0.927,9.198796e-01,1.390145e-03,0.2217,2.9948,0,2,40,1932,99
29,2031,2060,0.014078,0.927,9.901285e-01,2.123576e-04,0.2145,3.0088,0,1,105,1931,99
30,2030,2060,0.014563,0.927,1.089222e+00,2.773382e-04,0.2195,3.0039,0,8,173,1930,99
31,2029,2060,0.015049,0.927,1.216422e+00,3.177158e-04,0.2127,3.0,0,0,191,1929,99
32,2028,2060,0.015534,0.927,1.354820e+00,1.644773e-04,0.2159,3.0021,0,7,134,1928,99
33,2027,2060,0.016019,0.927,1.463328e+00,1.329757e-04,0.2083,2.9826,0,4,11,1927,99
34,2026,2060,0.016505,0.927,1.591721e+00,1.684788e-03,0.2109,2.988,0,2,111,1926,99
35,2025,2060,0.01699,0.927,1.754450e+00,1.610591e-03,0.2109,3.0041,0,2,18,1925,99
36,2024,2060,0.017476,0.927,1.940195e+00,1.644668e-02,0.2084,3.0051,1,7,2,1925,98
37,2023,2060,0.017961,0.927,2.751400e+00,2.747589e-04,0.2114,2.9981,0,1,192,1924,98
38,2022,2060,0.018447,0.927,2.916805e+00,2.551361e-04,0.2147,2.9992,0,3,173,1923,98
39,2021,2060,0.018932,0.927,2.967199e+00,7.323938e-04,0.2126,3.002,0,5,152,1922,98
40,2020,2060,0.019417,0.927,3.131137e+00,2.929690e-04,0.2132,2.9923,0,1,44,1921,98
41,2019,2060,0.019903,0.927,3.315610e+00,8.094695e-04,0.2094,2.9939,0,5,62,1920,98
42,2018,2060,0.020388,0.927,3.538135e+00,2.482128e-04,0.2088,3.0003,0,9,183,1919,98
43,2017,2060,0.020874,0.927,3.680953e+00,2.222192e-03,0.209,3.0044,0,2,164,1918,98
44,2016,2060,0.021359,0.927,3.903127e+00,2.215314e-03,0.2143,2.9953,0,2,24,1917,98
45,2015,2060,0.021845,0.927,4.206322e+00,3.621079e-04,0.218,3.0017,0,1,154,1916,98
46,2014,2060,0.02233,0.927,4.499110e+00,1.076715e-03,0.2166,2.9892,0,5,19,1915,98
47,2013,2060,0.022816,0.927,4.843302e+00,2.778253e-03,0.2185,2.9981,0,2,28,1914,98
48,2012,2060,0.023301,0.927,5.208069e+00,2.700208e-03,0.223,3.0014,0,2,152,1913,98
49,2011,2060,0.023786,0.927,5.645448e+00,4.808721e-04,0.2181,3.0043,0,8,32,1912,98
50,2010,2060,0.024272,0.927,5.983573e+00,4.750683e-04,0.2146,2.9886,0,8,107,1911,98
51,2009,2060,0.024757,0.927,6.276070e+00,5.295789e-04,0.2185,2.9909,0,0,174,1910,98
52,2008,2060,0.025243,0.927,6.612181e+00,2.119800e-04,0.215,3.0022,0,4,45,1909,98
53,2007,2060,0.025728,0.927,6.904170e+00,1.077388e-03,0.2115,2.9926,0,5,73,1908,98
54,2006,2060,0.026214,0.927,7.191182e+00,4.070772e-04,0.2197,3.0087,0,3,112,1907,98
55,2005,2060,0.026699,0.927,7.414489e+00,4.041086e-04,0.2138,2.9943,0,6,195,1906,98
56,2004,2060,0.027184,0.927,7.742332e+00,2.476613e-03,0.2201,2.9987,0,2,129,1905,98
57,2003,2060,0.02767,0.927,8.414221e+00,2.552366e-03,0.2188,3.0093,0,2,11,1904,98
58,2002,2060,0.028155,0.927,8.525096e+00,1.232646e-03,0.214,2.9994,0,5,103,1903,98
59,2001,2060,0.028641,0.927,8.949586e+00,2.609057e-03,0.2091,2.9921,0,2,106,1902,98
60,2000,2060,0.029126,0.927,9.561604e+00,3.756209e-04,0.2081,2.9916,0,9,8,1901,98
61,1999,2060,0.029612,0.927,9.836092e+00,1.255736e-03,0.2131,3.0033,0,5,159,1900,98
62,1998,2060,0.030097,0.928,1.032809e+01,2.951092e-03,0.2173,3.0024,0,2,20,1899,98
63,1997,2060,0.030583,0.927,1.105903e+01,3.115599e-03,0.2237,3.0093,0,2,97,1898,98
64,1996,2060,0.031068,0.927,1.143537e+01,2.456277e-03,0.216,3.0114,0,2,154,1897,98
65,1995,2060,0.031553,0.927,1.165317e+01,3.017190e-03,0.2172,3.0041,0,2,53,1896,98
66,1994,2060,0.032039,0.927,1.162276e+01,3.950050e-04,0.2203,2.9972,0,9,140,1895,98
67,1993,2060,0.032524,0.927,1.193109e+01,3.058133e-02,0.2174,3.0016,1,3,2,1895,97
68,1992,2060,0.03301,0.928,1.469253e+01,1.365395e-03,0.2144,3.007,0,5,49,1894,97
69,1991,2060,0.033495,0.929,1.518073e+01,4.088286e-04,0.2205,3.002,0,9,92,1893,97
70,1990,2060,0.033981,0.929,1.551880e+01,9.877689e-03,0.2102,2.9936,1,6,5,1893,96
71,1989,2060,0.034466,0.928,1.840558e+01,3.434821e-03,0.2169,2.9975,0,2,13,1892,96
72,1988,2060,0.034951,0.928,1.859702e+01,4.217336e-04,0.2129,2.9982,0,9,70,1891,96
73,1987,2060,0.035437,0.928,1.891676e+01,1.316420e-03,0.2127,3.0057,0,5,29,1890,96
74,1986,2060,0.035922,0.927,1.950549e+01,3.052669e-02,0.2197,2.9982,1,6,2,1890,95
75,1985,2060,0.036408,0.928,2.292386e+01,3.665307e-03,0.2099,2.9979,0,2,189,1889,95
76,1984,2060,0.036893,0.928,2.353487e+01,3.401565e-03,0.2215,3.0034,0,2,125,1888,95
77,1983,2060,0.037379,0.928,2.442061e+01,3.617812e-03,0.2098,2.988,0,2,63,1887,95
78,1982,2060,0.037864,0.928,2.492698e+01,1.497275e-03,0.2112,2.9962,0,5,41,1886,95
79,1981,2060,0.03835,0.928,2.560231e+01,3.171856e-02,0.2115,3.0027,1,2,2,1886,94
80,1980,2060,0.038835,0.928,2.916406e+01,3.424687e-02,0.2062,3.0015,1,9,2,1886,93
81,1979,2060,0.03932,0.928,3.278457e+01,3.164315e-03,0.2156,3.0071,0,2,93,1885,93
82,1978,2060,0.039806,0.928,3.349485e+01,7.425730e-04,0.2078,3.0134,0,0,126,1884,93
83,1977,2060,0.040291,0.928,3.417964e+01,7.733012e-04,0.2146,3.0053,0,0,62,1883,93
84,1976,2060,0.040777,0.928,3.498663e+01,1.599228e-03,0.2173,3.0084,0,5,195,1882,93
85,1975,2060,0.041262,0.928,3.600002e+01,8.022383e-04,0.2143,3.0106,0,0,46,1881,93
86,1974,2060,0.041748,0.928,3.687456e+01,3.309571e-04,0.2241,2.9968,0,4,59,1880,93
87,1973,2060,0.042233,0.928,3.763508e+01,4.088310e-03,0.2186,3.0049,0,2,151,1879,93
88,1972,2060,0.042718,0.928,3.881533e+01,3.530665e-03,0.2184,3.0003,0,2,133,1878,93
89,1971,2060,0.043204,0.928,4.041632e+01,8.299521e-04,0.2126,3.0006,0,0,14,1877,93
90,1970,2060,0.043689,0.928,4.122819e+01,4.268682e-04,0.2248,2.9908,0,7,99,1876,93
91,1969,2060,0.044175,0.928,4.185027e+01,4.225806e-03,0.2176,3.0111,0,2,7,1875,93
