step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,3.048299e-02,4.1537,1.8195,0,6,168,1959,100,100
1,2159,2160,0.000463,0.917,4.622579e+01,3.125120e-02,3.6238,1.2865,0,6,72,1958,100,100
2,2158,2160,0.000926,0.917,6.395725e+01,4.579369e-02,3.4933,1.1435,2,9,0,1958,100,99
3,2157,2160,0.001389,0.913,9.421365e+01,3.554346e-02,3.4954,1.3299,0,6,105,1957,100,99
4,2156,2160,0.001852,0.915,1.161645e+02,2.793428e-02,3.4862,1.3016,0,8,180,1956,100,99
5,2155,2160,0.002315,0.913,8.571326e+01,2.988894e-02,3.498,1.1394,0,7,155,1955,100,99
6,2154,2160,0.002778,0.914,7.895452e+01,2.849352e-02,3.4958,1.1043,0,2,14,1954,100,99
7,2153,2160,0.003241,0.914,9.092770e+01,3.052306e-02,3.4961,1.2988,0,6,172,1953,100,99
8,2152,2160,0.003704,0.917,6.687688e+01,3.754142e-02,3.4879,1.2506,0,6,107,1952,100,99
9,2151,2160,0.004167,0.914,1.165207e+02,2.585866e-02,3.4998,1.1256,0,9,54,1951,100,99
10,2150,2160,0.00463,0.914,8.775463e+01,3.546892e-02,3.4981,1.3313,0,6,41,1950,100,99
11,2149,2160,0.005093,0.914,1.190292e+02,2.692538e-02,3.5018,1.3395,0,8,39,1949,100,99
12,2148,2160,0.005556,0.914,7.601465e+01,2.815450e-02,3.4984,1.1251,0,1,193,1948,100,99
13,2147,2160,0.006019,0.911,7.711024e+01,3.010720e-02,3.4965,1.132,0,3,142,1947,100,99
14,2146,2160,0.006481,0.915,6.533322e+01,2.700228e-02,3.4968,1.316,0,1,11,1946,100,99
15,2145,2160,0.006944,0.913,6.529116e+01,2.125937e-02,3.4982,1.2213,0,0,116,1945,100,99
16,2144,2160,0.007407,0.912,6.973659e+01,3.403378e-02,3.4861,1.1334,0,6,145,1944,100,99
17,2143,2160,0.00787,0.914,6.915769e+01,3.665592e-02,3.6534,1.2758,2,7,0,1944,100,98
18,2142,2160,0.008333,0.916,9.612379e+01,3.410701e-02,3.4715,1.3851,0,6,79,1943,100,98
19,2141,2160,0.008796,0.913,8.207626e+01,2.981473e-02,3.492,1.1366,0,6,181,1942,100,98
20,2140,2160,0.009259,0.913,1.031134e+02,2.382412e-02,3.4851,1.3064,0,1,152,1941,100,98
21,2139,2160,0.009722,0.912,6.700511e+01,1.027802e-01,3.4595,1.3094,0,6,39,1940,100,98
22,2138,2160,0.010185,0.912,5.543629e+01,3.004621e-02,3.4849,1.1305,0,6,184,1939,100,98
23,2137,2160,0.010648,0.913,6.579649e+01,2.391720e-02,3.5015,1.1608,0,0,153,1938,100,98
24,2136,2160,0.011111,0.912,5.651725e+01,2.754386e-02,3.4944,1.2774,0,6,0,1937,100,98
25,2135,2160,0.011574,0.912,1.009109e+02,2.424864e-02,3.478,1.3141,1,1,2,1937,99,98
26,2134,2160,0.012037,0.91,7.589634e+01,2.311585e-02,3.6186,1.1191,0,8,62,1936,99,98
27,2133,2160,0.0125,0.909,7.839948e+01,4.708087e-02,3.4679,1.2999,0,6,151,1935,99,98
28,2132,2160,0.012963,0.909,7.601152e+01,3.120303e-02,3.4648,1.3641,0,6,152,1934,99,98
29,2131,2160,0.013426,0.911,5.202071e+01,3.253010e-02,3.4582,1.6,0,6,16,1933,99,98
30,2130,2160,0.013889,0.91,5.994454e+01,3.805533e-02,3.4911,1.3687,0,6,154,1932,99,98
31,2129,2160,0.014352,0.911,8.166211e+01,2.727556e-02,3.4672,1.3036,2,5,0,1932,99,97
32,2128,2160,0.014815,0.91,4.324361e+01,3.405185e-02,3.4661,1.1067,0,6,119,1931,99,97
33,2127,2160,0.015278,0.908,6.289513e+01,2.831785e-02,3.4382,1.1752,0,5,63,1930,99,97
34,2126,2160,0.015741,0.906,7.605142e+01,2.478459e-02,3.4513,1.3132,0,1,21,1929,99,97
35,2125,2160,0.016204,0.907,5.914758e+03,3.936661e-02,3.4332,1.2774,0,5,87,1928,99,97
36,2124,2160,0.016667,0.903,1.836216e+02,2.982983e-02,3.4541,1.144,0,8,96,1927,99,97
37,2123,2160,0.01713,0.906,1.186925e+02,2.441999e-02,3.4305,1.3268,0,3,102,1926,99,97
38,2122,2160,0.017593,0.905,1.159322e+02,3.066022e-02,3.4314,1.365,0,9,102,1925,99,97
39,2121,2160,0.018056,0.904,8.299496e+01,1.963981e-02,3.4717,1.1218,0,0,7,1924,99,97
40,2120,2160,0.018519,0.904,8.646774e+01,3.007839e-02,3.4399,1.1485,0,6,161,1923,99,97
41,2119,2160,0.018981,0.904,7.682346e+01,3.729598e-02,3.4581,1.3084,2,6,0,1923,99,96
42,2118,2160,0.019444,0.904,1.079116e+02,2.976599e-02,3.5971,1.3378,0,8,4,1922,99,96
43,2117,2160,0.019907,0.902,6.601051e+01,3.591683e-02,3.4526,1.1346,0,6,162,1921,99,96
44,2116,2160,0.02037,0.905,2.458967e+02,1.672429e-02,3.4366,1.2348,0,5,170,1920,99,96
45,2115,2160,0.020833,0.902,6.722501e+01,2.444736e-02,3.4508,1.3401,0,4,122,1919,99,96
46,2114,2160,0.021296,0.898,5.884611e+01,2.091764e-02,3.4303,1.2087,0,2,36,1918,99,96
47,2113,2160,0.021759,0.898,6.584116e+01,3.304558e-02,3.4333,1.1501,0,6,166,1917,99,96
48,2112,2160,0.022222,0.899,1.043268e+02,2.125475e-02,3.4421,1.3908,0,7,148,1916,99,96
49,2111,2160,0.022685,0.9,6.194186e+01,3.861191e-02,3.4141,1.3421,2,4,0,1916,99,95
50,2110,2160,0.023148,0.896,6.795975e+01,4.033182e-02,3.44,1.1331,0,6,128,1915,99,95
51,2109,2160,0.023611,0.899,7.433275e+01,2.828727e-02,3.4313,1.1442,0,2,111,1914,99,95
52,2108,2160,0.024074,0.9,5.789822e+01,3.169249e-02,3.4581,1.3164,1,0,0,1914,98,95
53,2107,2160,0.024537,0.897,7.105177e+01,3.243108e-02,3.4106,1.316,0,6,1,1913,98,95
54,2106,2160,0.025,0.898,2.773058e+03,3.022347e-02,3.4419,1.1235,0,7,116,1912,98,95
55,2105,2160,0.025463,0.897,1.166721e+02,2.584878e-02,3.4373,1.1339,0,7,188,1911,98,95
56,2104,2160,0.025926,0.897,1.059210e+02,2.867109e-02,3.4304,1.4526,0,1,195,1910,98,95
57,2103,2160,0.026389,0.898,1.012754e+02,2.418876e-02,3.4172,1.3183,0,6,62,1909,98,95
58,2102,2160,0.026852,0.897,1.161529e+02,3.224882e-02,3.4344,1.1448,0,6,28,1908,98,95
59,2101,2160,0.027315,0.897,1.075741e+02,2.681169e-02,3.4309,1.1099,0,7,127,1907,98,95
60,2100,2160,0.027778,0.897,1.045910e+02,3.638876e-02,3.4276,1.2999,0,6,175,1906,98,95
61,2099,2160,0.028241,0.897,1.097390e+02,3.468545e-02,3.4132,1.3664,0,6,176,1905,98,95
62,2098,2160,0.028704,0.898,1.032735e+02,3.144479e-02,3.4522,1.1156,0,8,111,1904,98,95
63,2097,2160,0.029167,0.897,1.127497e+02,2.682235e-02,3.4357,1.114,0,7,186,1903,98,95
64,2096,2160,0.02963,0.896,1.069522e+02,2.136038e-02,3.4394,1.3448,0,9,40,1902,98,95
65,2095,2160,0.030093,0.894,1.124224e+02,2.803214e-02,3.4171,1.3518,0,9,124,1901,98,95
66,2094,2160,0.030556,0.894,1.039031e+02,3.756963e-02,3.4312,1.1522,0,6,29,1900,98,95
67,2093,2160,0.031019,0.896,1.252364e+02,3.230032e-02,3.4488,2.196,0,6,178,1899,98,95
68,2092,2160,0.031481,0.894,1.085396e+02,2.280177e-02,3.4324,1.1734,0,3,10,1898,98,95
69,2091,2160,0.031944,0.892,1.180244e+02,3.127487e-02,3.4297,1.166,0,6,2,1897,98,95
70,2090,2160,0.032407,0.893,1.123976e+02,2.976055e-02,3.4254,1.3438,0,4,3,1896,98,95
71,2089,2160,0.03287,0.889,6.012432e+02,2.187862e-02,3.4303,1.3473,0,7,31,1895,98,95
72,2088,2160,0.033333,0.89,1.175282e+02,3.653092e-02,3.4336,1.197,0,6,102,1894,98,95
73,2087,2160,0.033796,0.892,1.162113e+02,3.325655e-02,3.4222,1.366,0,6,185,1893,98,95
74,2086,2160,0.034259,0.891,1.112324e+02,3.145162e-02,3.4291,1.3639,0,6,186,1892,98,95
75,2085,2160,0.034722,0.893,1.180745e+02,3.110973e-02,3.4062,1.1443,0,9,75,1891,98,95
76,2084,2160,0.035185,0.889,7.650087e+02,2.370531e-02,3.4228,1.2185,0,7,2,1890,98,95
77,2083,2160,0.035648,0.888,1.330692e+02,3.579843e-02,3.4305,1.4103,0,6,103,1889,98,95
78,2082,2160,0.036111,0.888,1.281254e+02,3.614430e-02,3.4079,1.3505,0,6,104,1888,98,95
79,2081,2160,0.036574,0.886,1.477243e+02,3.444609e-02,3.4174,1.1369,0,6,33,1887,98,95
80,2080,2160,0.037037,0.889,1.354534e+02,3.512669e-02,3.4724,1.2389,0,6,3,1886,98,95
81,2079,2160,0.0375,0.884,1.494323e+02,2.326405e-02,3.4323,1.3557,0,1,25,1885,98,95
82,2078,2160,0.037963,0.882,1.270582e+02,3.062843e-02,3.4091,1.3772,0,6,71,1884,98,95
83,2077,2160,0.038426,0.882,1.622583e+04,5.955622e-02,3.4264,1.2267,0,5,76,1883,98,95
84,2076,2160,0.038889,0.887,2.976954e+02,3.723740e-02,3.437,1.4349,0,3,83,1882,98,95
85,2075,2160,0.039352,0.884,2.169116e+02,3.578009e-02,3.4077,1.3865,0,6,4,1881,98,95
86,2074,2160,0.039815,0.888,1.904829e+02,3.394496e-02,3.4251,1.1436,1,0,8,1881,97,95
87,2073,2160,0.040278,0.887,1.840865e+02,3.549083e-02,3.4332,1.1809,0,6,149,1880,97,95
88,2072,2160,0.040741,0.889,1.856136e+02,2.582656e-02,3.4314,1.3849,0,4,15,1879,97,95
89,2071,2160,0.041204,0.886,1.627745e+02,2.496263e-02,3.4097,1.3605,0,4,24,1878,97,95
90,2070,2160,0.041667,0.879,1.568101e+02,2.755498e-02,3.4117,1.1453,1,0,1,1878,96,95
91,2069,2160,0.04213,0.881,1.607923e+02,3.782837e-02,3.4205,1.1745,1,0,2,1878,95,95
92,2068,2160,0.042593,0.88,1.666357e+02,3.241088e-02,3.4162,1.3466,0,6,116,1877,95,95
93,2067,2160,0.043056,0.88,1.557797e+02,3.479149e-02,3.4135,1.4117,0,6,156,1876,95,95
94,2066,2160,0.043519,0.882,1.632260e+02,3.234247e-02,3.4179,1.1605,0,6,117,1875,95,95
95,2065,2160,0.043981,0.877,1.577697e+02,3.046602e-02,3.4269,1.35,0,6,158,1874,95,95
96,2064,2160,0.044444,0.88,1.615231e+02,2.267466e-02,3.4143,1.4519,0,8,25,1873,95,95
97,2063,2160,0.044907,0.88,1.504510e+02,2.985243e-02,3.4126,1.2664,0,6,159,1872,95,95
98,2062,2160,0.04537,0.878,1.413674e+02,3.135791e-02,3.4239,1.2109,1,0,3,1872,94,95
99,2061,2160,0.045833,0.879,1.431141e+02,2.608304e-02,3.415,1.3919,0,4,176,1871,94,95
100,2060,2160,0.046296,0.877,1.344814e+02,3.205964e-02,3.4077,1.3657,0,6,80,1870,94,95
101,2059,2160,0.046759,0.877,2.995913e+03,3.628036e-02,3.4028,1.1693,0,7,38,1869,94,95
102,2058,2160,0.047222,0.878,2.235084e+02,1.890322e-02,3.5498,1.3585,0,5,167,1868,94,95
103,2057,2160,0.047685,0.875,2.285999e+02,3.149661e-02,3.4056,1.4068,0,6,122,1867,94,95
104,2056,2160,0.048148,0.875,2.223160e+02,3.248970e-02,3.4083,1.2103,0,6,123,1866,94,95
105,2055,2160,0.048611,0.872,2.254657e+02,2.996325e-02,3.4282,1.2107,0,4,190,1865,94,95
106,2054,2160,0.049074,0.872,2.418087e+02,1.666578e-02,3.428,1.4634,0,3,166,1864,94,95
107,2053,2160,0.049537,0.87,2.144838e+02,3.072463e-02,3.4114,1.3645,0,6,171,1863,94,95
108,2052,2160,0.05,0.871,2.084879e+02,3.075533e-02,3.4295,1.191,0,6,173,1862,94,95
109,2051,2160,0.050463,0.87,2.114697e+02,2.756878e-02,3.4231,1.4083,0,9,42,1861,94,95
110,2050,2160,0.050926,0.868,2.069646e+02,3.175892e-02,3.4015,1.4639,2,8,0,1861,94,94
111,2049,2160,0.051389,0.868,2.128819e+02,2.948946e-02,3.3989,1.2242,0,6,47,1860,94,94
112,2048,2160,0.051852,0.868,2.229977e+02,1.914010e-02,3.4092,1.2237,0,0,151,1859,94,94
113,2047,2160,0.052315,0.869,2.134727e+02,2.637802e-02,3.4002,1.4119,0,3,170,1858,94,94
114,2046,2160,0.052778,0.868,2.046456e+02,4.033544e-02,3.3997,1.382,0,6,87,1857,94,94
115,2045,2160,0.053241,0.869,2.157397e+02,1.766340e-02,3.542,1.1585,0,7,5,1856,94,94
116,2044,2160,0.053704,0.865,2.103224e+02,2.979918e-02,3.4099,1.445,0,6,88,1855,94,94
117,2043,2160,0.054167,0.867,2.142954e+02,3.517478e-02,3.3942,1.4159,0,6,183,1854,94,94
118,2042,2160,0.05463,0.865,2.552095e+02,1.746059e-02,3.4034,1.2235,0,7,3,1853,94,94
119,2041,2160,0.055093,0.865,2.162817e+02,3.433434e-02,3.4266,1.2602,0,6,132,1852,94,94
120,2040,2160,0.055556,0.863,2.161355e+02,3.370641e-02,3.4131,1.3894,0,6,133,1851,94,94
121,2039,2160,0.056019,0.864,2.154764e+02,3.507911e-02,3.3959,1.4077,0,6,134,1850,94,94
122,2038,2160,0.056481,0.861,2.217827e+02,3.015546e-02,3.4193,1.2248,0,6,190,1849,94,94
123,2037,2160,0.056944,0.861,2.167857e+02,3.629848e-02,3.4046,1.4227,0,6,135,1848,94,94
124,2036,2160,0.057407,0.862,2.266143e+02,3.052493e-02,3.408,1.3711,0,6,5,1847,94,94
125,2035,2160,0.05787,0.859,2.199440e+02,2.506354e-02,3.4013,1.2151,0,8,57,1846,94,94
126,2034,2160,0.058333,0.863,2.161296e+02,1.523452e-02,3.3959,1.2447,0,3,76,1845,94,94
127,2033,2160,0.058796,0.86,2.151310e+02,2.927295e-02,3.4948,1.4148,0,1,20,1844,94,94
128,2032,2160,0.059259,0.861,7.213910e+02,1.868283e-02,3.4078,1.2771,1,3,1,1844,93,94
129,2031,2160,0.059722,0.857,2.123331e+02,2.917409e-02,3.4048,1.2247,0,6,53,1843,93,94
130,2030,2160,0.060185,0.861,2.121926e+02,3.717411e-02,3.4124,1.4553,0,6,54,1842,93,94
131,2029,2160,0.060648,0.857,2.142226e+02,2.651032e-02,3.439,1.447,0,9,7,1841,93,94
132,2028,2160,0.061111,0.858,2.070866e+02,2.814288e-02,3.4103,1.1861,0,2,37,1840,93,94
133,2027,2160,0.061574,0.853,2.092773e+02,3.689664e-02,3.4284,1.5266,0,6,95,1839,93,94
134,2026,2160,0.062037,0.855,2.043098e+02,3.645556e-02,3.4165,1.3804,0,6,143,1838,93,94
135,2025,2160,0.0625,0.856,2.223855e+02,3.462101e-02,3.4023,1.1936,0,6,56,1837,93,94
136,2024,2160,0.062963,0.858,2.095211e+02,1.560560e-02,3.4059,1.3206,0,0,155,1836,93,94
137,2023,2160,0.063426,0.854,2.087174e+02,3.088245e-02,3.4097,1.4054,0,6,98,1835,93,94
138,2022,2160,0.063889,0.855,2.078311e+02,3.982313e-02,3.3963,1.3617,1,0,4,1835,92,94
139,2021,2160,0.064352,0.858,2.165466e+02,4.000625e-02,3.4031,1.2232,0,6,99,1834,92,94
140,2020,2160,0.064815,0.857,2.480460e+02,1.802396e-02,3.4004,1.4324,0,7,115,1833,92,94
141,2019,2160,0.065278,0.851,2.194772e+02,3.291359e-02,3.4046,1.3498,0,6,17,1832,92,94
142,2018,2160,0.065741,0.856,2.120967e+02,2.623262e-02,3.3984,1.2275,0,4,80,1831,92,94
143,2017,2160,0.066204,0.855,2.061531e+02,1.885762e-02,3.4406,1.818,0,9,1,1830,92,94
144,2016,2160,0.066667,0.85,2.082836e+02,3.119723e-02,3.4043,1.3371,0,6,155,1829,92,94
145,2015,2160,0.06713,0.851,2.133700e+02,1.829176e-02,3.4067,1.2287,0,5,74,1828,92,94
146,2014,2160,0.067593,0.848,2.046792e+02,3.026776e-02,3.3827,1.3917,1,2,9,1828,91,94
147,2013,2160,0.068056,0.849,2.066624e+02,2.687969e-02,3.3906,1.391,0,2,122,1827,91,94
148,2012,2160,0.068519,0.844,2.039886e+02,3.047749e-02,3.386,1.2352,0,6,109,1826,91,94
149,2011,2160,0.068981,0.84,9.559111e+03,6.597614e-02,3.407,1.3651,0,7,22,1825,91,94
150,2010,2160,0.069444,0.839,4.840496e+02,3.458166e-02,3.4033,1.432,0,6,164,1824,91,94
151,2009,2160,0.069907,0.842,4.708348e+02,3.507514e-02,3.4068,1.2715,0,6,110,1823,91,94
152,2008,2160,0.07037,0.842,4.790974e+02,3.146465e-02,3.4611,1.9643,0,6,111,1822,91,94
153,2007,2160,0.070833,0.843,4.741973e+02,2.385428e-02,3.3945,1.3668,0,3,36,1821,91,94
154,2006,2160,0.071296,0.84,4.662012e+02,3.064941e-02,3.3872,1.2174,0,6,113,1820,91,94
155,2005,2160,0.071759,0.838,4.727695e+02,2.166692e-02,3.4174,1.2816,0,8,29,1819,91,94
156,2004,2160,0.072222,0.837,4.677280e+02,3.530462e-02,3.4029,1.3778,0,6,22,1818,91,94
157,2003,2160,0.072685,0.841,4.906651e+02,1.804828e-02,3.3992,1.3649,0,4,11,1817,91,94
158,2002,2160,0.073148,0.84,4.707589e+02,3.681917e-02,3.3949,1.3103,0,6,179,1816,91,94
159,2001,2160,0.073611,0.843,2.938434e+03,2.151320e-02,3.4118,1.4072,1,1,9,1816,90,94
160,2000,2160,0.074074,0.84,4.693815e+02,3.300264e-02,3.392,1.3455,0,6,24,1815,90,94
161,1999,2160,0.074537,0.843,4.758333e+02,2.465703e-02,3.4029,1.191,0,6,25,1814,90,94
162,1998,2160,0.075,0.844,4.625588e+02,3.707168e-02,3.3953,1.1971,0,6,121,1813,90,94
163,1997,2160,0.075463,0.845,4.756822e+02,2.901866e-02,3.4002,1.4578,0,8,150,1812,90,94
164,1996,2160,0.075926,0.844,4.605516e+02,3.268650e-02,3.3887,1.4237,1,0,5,1812,89,94
165,1995,2160,0.076389,0.844,5.004057e+02,2.099990e-02,3.4065,1.2278,0,7,42,1811,89,94
166,1994,2160,0.076852,0.841,4.745924e+02,1.586842e-02,3.4143,1.4311,0,3,97,1810,89,94
167,1993,2160,0.077315,0.841,4.633181e+02,2.990340e-02,3.3957,1.4102,0,6,27,1809,89,94
168,1992,2160,0.077778,0.843,7.063004e+02,1.842142e-02,3.4177,1.7815,1,1,5,1809,88,94
