epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.1107,0.126,0.230253,0.387
1,0.1107,0.126,0.230252,0.004
2,0.1107,0.126,0.230252,0.004
3,0.1107,0.126,0.230252,0.004
4,0.1107,0.126,0.230251,0.004
5,0.1107,0.126,0.230251,0.003
6,0.1107,0.126,0.230251,0.003
7,0.1107,0.126,0.23025,0.004
8,0.1107,0.126,0.23025,0.004
9,0.1107,0.126,0.230249,0.004
10,0.1107,0.126,0.230249,0.004
11,0.1107,0.126,0.230248,0.004
12,0.1107,0.126,0.230248,0.004
13,0.1107,0.126,0.230248,0.004
14,0.1107,0.126,0.230247,0.004
15,0.1107,0.126,0.230247,0.004
16,0.1107,0.126,0.230246,0.004
17,0.1107,0.126,0.230246,0.004
18,0.1107,0.126,0.230246,0.003
19,0.1107,0.126,0.230246,0.004
20,0.1107,0.126,0.230245,0.004
21,0.1107,0.126,0.230245,0.003
22,0.1107,0.126,0.230245,0.003
23,0.1107,0.126,0.230244,0.003
24,0.1107,0.126,0.230244,0.004
25,0.1107,0.126,0.230243,0.004
26,0.1107,0.126,0.230243,0.003
27,0.1107,0.126,0.230242,0.004
28,0.1107,0.126,0.230242,0.004
29,0.1107,0.126,0.230242,0.004
30,0.1107,0.126,0.230241,0.004
31,0.1107,0.126,0.230241,0.004
32,0.1107,0.126,0.230241,0.004
33,0.1107,0.126,0.230241,0.004
34,0.1107,0.126,0.23024,0.004
35,0.1107,0.126,0.23024,0.004
36,0.1107,0.126,0.23024,0.004
37,0.1107,0.126,0.230239,0.004
38,0.1107,0.126,0.230239,0.004
39,0.1107,0.126,0.230239,0.004
40,0.1107,0.126,0.230239,0.004
41,0.1107,0.126,0.230238,0.004
42,0.1107,0.126,0.230238,0.004
43,0.1107,0.126,0.230238,0.004
44,0.1107,0.126,0.230237,0.004
45,0.1107,0.126,0.230237,0.004
46,0.1107,0.126,0.230237,0.004
47,0.1107,0.126,0.230237,0.004
48,0.1107,0.126,0.230237,0.004
49,0.1107,0.126,0.230236,0.004
50,0.1107,0.126,0.230236,0.004
51,0.1107,0.126,0.230236,0.004
52,0.1107,0.126,0.230235,0.004
53,0.1107,0.126,0.230235,0.004
54,0.1107,0.126,0.230235,0.004
55,0.1107,0.126,0.230235,0.004
56,0.1107,0.126,0.230234,0.004
57,0.1107,0.126,0.230234,0.004
58,0.1107,0.126,0.230234,0.004
59,0.1107,0.126,0.230234,0.004
60,0.1107,0.126,0.230233,0.004
61,0.1107,0.126,0.230233,0.003
62,0.1107,0.126,0.230233,0.003
63,0.1107,0.126,0.230233,0.004
64,0.1107,0.126,0.230232,0.004
65,0.1107,0.126,0.230232,0.003
66,0.1107,0.126,0.230232,0.003
67,0.1107,0.126,0.230231,0.004
68,0.1107,0.126,0.230231,0.004
69,0.1107,0.126,0.230231,0.004
70,0.1107,0.126,0.23023,0.004
71,0.1107,0.126,0.23023,0.004
72,0.1107,0.126,0.23023,0.003
73,0.1107,0.126,0.230229,0.004
74,0.1107,0.126,0.230229,0.004
75,0.1107,0.126,0.230228,0.004
76,0.1107,0.126,0.230228,0.004
77,0.1107,0.126,0.230227,0.004
78,0.1107,0.126,0.230227,0.004
79,0.1107,0.126,0.230227,0.004
80,0.1107,0.126,0.230227,0.004
81,0.1107,0.126,0.230226,0.003
82,0.1107,0.126,0.230226,0.004
83,0.1107,0.126,0.230226,0.004
84,0.1107,0.126,0.230225,0.004
85,0.1107,0.126,0.230225,0.004
86,0.1107,0.126,0.230224,0.004
87,0.1107,0.126,0.230224,0.004
88,0.1107,0.126,0.230224,0.004
89,0.1107,0.126,0.230223,0.004
90,0.1107,0.126,0.230223,0.004
91,0.1107,0.126,0.230223,0.004
92,0.1107,0.126,0.230223,0.003
93,0.1107,0.126,0.230222,0.004
94,0.1107,0.126,0.230222,0.004
95,0.1107,0.126,0.230222,0.004
96,0.1107,0.126,0.230222,0.004
97,0.1107,0.126,0.230221,0.004
98,0.1107,0.126,0.230221,0.004
99,0.1107,0.126,0.23022,0.004
100,0.1107,0.126,0.23022,0.004
101,0.1107,0.126,0.23022,0.004
102,0.1107,0.126,0.230219,0.003
103,0.1107,0.126,0.230219,0.003
104,0.1107,0.126,0.230219,0.003
105,0.1107,0.126,0.230218,0.003
106,0.1107,0.126,0.230218,0.003
107,0.1107,0.126,0.230218,0.004
108,0.1107,0.126,0.230218,0.004
109,0.1107,0.126,0.230218,0.004
110,0.1107,0.126,0.230217,0.004
111,0.1107,0.126,0.230216,0.004
112,0.1107,0.126,0.230216,0.004
113,0.1107,0.126,0.230216,0.004
114,0.1107,0.126,0.230216,0.004
115,0.1107,0.126,0.230215,0.004
116,0.1107,0.126,0.230215,0.004
117,0.1107,0.126,0.230214,0.004
118,0.1107,0.126,0.230214,0.004
119,0.1107,0.126,0.230214,0.004
120,0.1107,0.126,0.230213,0.004
121,0.1107,0.126,0.230213,0.004
122,0.1107,0.126,0.230213,0.004
123,0.1107,0.126,0.230213,0.004
124,0.1107,0.126,0.230212,0.004
125,0.1107,0.126,0.230212,0.004
126,0.1107,0.126,0.230211,0.004
127,0.1107,0.126,0.230211,0.004
128,0.1107,0.126,0.230211,0.004
129,0.1107,0.126,0.230211,0.004
130,0.1107,0.126,0.23021,0.003
131,0.1107,0.126,0.23021,0.004
132,0.1107,0.126,0.23021,0.004
133,0.1107,0.126,0.23021,0.004
134,0.1107,0.126,0.23021,0.004
135,0.1107,0.126,0.23021,0.004
136,0.1107,0.126,0.230209,0.004
137,0.1107,0.126,0.230209,0.004
138,0.1107,0.126,0.230209,0.004
139,0.1107,0.126,0.230208,0.004
140,0.1107,0.126,0.230209,0.004
141,0.1107,0.126,0.230208,0.004
142,0.1107,0.126,0.230208,0.004
143,0.1107,0.126,0.230207,0.004
144,0.1107,0.126,0.230207,0.004
