step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,2.639252e-02,4.172,1.2307,0,6,72,1959,100,100
1,2159,2160,0.000463,0.916,3.244453e+01,7.378505e-02,3.7121,1.3728,0,6,45,1958,100,100
2,2158,2160,0.000926,0.917,2.935205e+01,3.186001e-02,3.6372,2.3199,0,8,88,1957,100,100
3,2157,2160,0.001389,0.916,6.329050e+01,3.412820e-02,3.6989,1.1622,0,6,0,1956,100,100
4,2156,2160,0.001852,0.917,1.030133e+02,3.811420e-02,3.5605,1.7473,2,9,0,1956,100,99
5,2155,2160,0.002315,0.915,8.124636e+01,2.689267e-02,3.5659,1.1704,0,8,146,1955,100,99
6,2154,2160,0.002778,0.916,7.809604e+01,3.228612e-02,3.5437,1.1429,0,6,171,1954,100,99
7,2153,2160,0.003241,0.914,8.497195e+01,3.504466e-02,3.4949,2.761,0,6,172,1953,100,99
8,2152,2160,0.003704,0.916,6.786212e+02,2.873141e-02,3.5158,1.515,0,1,14,1952,100,99
9,2151,2160,0.004167,0.915,1.365613e+02,3.306452e-02,3.5445,1.2207,0,6,76,1951,100,99
10,2150,2160,0.00463,0.916,8.799482e+01,2.955350e-02,3.5201,3.8488,0,6,141,1950,100,99
11,2149,2160,0.005093,0.914,1.243170e+02,2.430745e-02,4.0707,4.1866,0,8,62,1949,100,99
12,2148,2160,0.005556,0.915,1.322042e+02,3.403782e-02,3.9881,4.2864,0,6,109,1948,100,99
13,2147,2160,0.006019,0.915,1.100288e+02,3.073481e-02,3.696,3.8123,0,7,188,1947,100,99
14,2146,2160,0.006481,0.914,8.826473e+01,3.381744e-02,3.9628,3.0662,0,6,110,1946,100,99
15,2145,2160,0.006944,0.915,1.059280e+02,2.990266e-02,3.9588,1.3986,0,6,42,1945,100,99
16,2144,2160,0.007407,0.914,1.033216e+02,3.271901e-02,3.8474,1.9497,0,6,112,1944,100,99
17,2143,2160,0.00787,0.916,9.464616e+01,3.111885e-02,3.9371,2.0328,0,6,10,1943,100,99
18,2142,2160,0.008333,0.915,8.201024e+01,3.435044e-02,3.7126,2.0273,0,6,79,1942,100,99
19,2141,2160,0.008796,0.916,7.461943e+01,1.990424e-02,3.6762,2.1403,0,0,94,1941,100,99
20,2140,2160,0.009259,0.914,6.506345e+01,2.883689e-02,3.6601,1.4337,0,4,15,1940,100,99
21,2139,2160,0.009722,0.914,3.481602e+03,3.907426e-02,3.6413,1.9942,1,1,2,1940,99,99
22,2138,2160,0.010185,0.913,9.903577e+01,2.752439e-02,3.5052,1.6824,0,9,73,1939,99,99
23,2137,2160,0.010648,0.911,7.094162e+01,2.909730e-02,3.6288,1.5369,0,5,27,1938,99,99
24,2136,2160,0.011111,0.914,6.702784e+01,4.560305e-02,3.5566,1.6056,0,6,151,1937,99,99
25,2135,2160,0.011574,0.909,8.915946e+01,3.212301e-02,3.6542,2.3673,0,6,118,1936,99,99
26,2134,2160,0.012037,0.909,8.207393e+01,3.052456e-02,3.5685,1.2608,0,4,28,1935,99,99
27,2133,2160,0.0125,0.909,8.849856e+01,3.452913e-02,3.6856,2.0399,0,6,188,1934,99,99
28,2132,2160,0.012963,0.908,1.001582e+02,3.609175e-02,3.6848,1.9555,0,6,154,1933,99,99
29,2131,2160,0.013426,0.907,1.041907e+02,4.132452e-02,3.5906,2.2679,0,6,49,1932,99,99
30,2130,2160,0.013889,0.907,1.087799e+02,2.984482e-02,3.621,2.4964,0,6,15,1931,99,99
31,2129,2160,0.014352,0.908,7.342885e+01,3.178517e-02,3.6171,2.213,0,1,11,1930,99,99
32,2128,2160,0.014815,0.906,7.229441e+01,2.387513e-02,3.6734,2.4092,0,1,175,1929,99,99
33,2127,2160,0.015278,0.905,7.170480e+01,2.916737e-02,3.645,1.665,0,6,194,1928,99,99
34,2126,2160,0.015741,0.907,5.846877e+01,2.861603e-02,3.5847,2.1627,0,3,43,1927,99,99
35,2125,2160,0.016204,0.904,5.185973e+02,2.390904e-02,3.8519,3.1884,0,7,195,1926,99,99
36,2124,2160,0.016667,0.901,8.902963e+01,3.144442e-02,3.9995,2.9104,0,6,125,1925,99,99
37,2123,2160,0.01713,0.903,7.764302e+01,3.391087e-02,4.0952,2.9963,0,6,54,1924,99,99
38,2122,2160,0.017593,0.903,7.227792e+01,2.740820e-02,3.9451,3.984,0,9,41,1923,99,99
39,2121,2160,0.018056,0.901,7.245866e+01,3.756492e-02,3.7485,2.4553,0,6,162,1922,99,99
40,2120,2160,0.018519,0.904,6.006876e+01,2.613761e-02,3.7615,2.3527,0,5,29,1921,99,99
41,2119,2160,0.018981,0.902,6.094378e+01,2.285850e-02,3.7709,2.4381,0,8,7,1920,99,99
42,2118,2160,0.019444,0.901,7.120320e+01,3.201207e-02,3.7145,2.3891,0,6,56,1919,99,99
43,2117,2160,0.019907,0.899,6.943979e+01,3.706536e-02,3.7524,2.3922,2,7,0,1919,99,98
44,2116,2160,0.02037,0.9,9.045911e+01,3.078956e-02,3.7292,2.1311,0,6,20,1918,99,98
45,2115,2160,0.020833,0.901,2.315541e+02,2.100206e-02,3.6898,2.2647,0,7,189,1917,99,98
46,2114,2160,0.021296,0.899,7.804826e+01,3.076731e-02,3.7143,2.279,0,6,166,1916,99,98
47,2113,2160,0.021759,0.903,7.479117e+01,2.018751e-02,3.7271,2.1437,0,8,11,1915,99,98
48,2112,2160,0.022222,0.901,8.297812e+01,3.401664e-02,3.7019,2.1584,0,6,167,1914,99,98
49,2111,2160,0.022685,0.9,6.449996e+02,2.374360e-02,3.6426,2.073,0,0,39,1913,99,98
50,2110,2160,0.023148,0.896,9.172843e+01,3.016035e-02,3.6722,2.3278,0,6,131,1912,99,98
51,2109,2160,0.023611,0.9,8.515094e+01,3.512583e-02,3.671,2.1756,0,6,170,1911,99,98
52,2108,2160,0.024074,0.898,2.130811e+02,1.918370e-02,3.6928,2.1316,0,5,75,1910,99,98
53,2107,2160,0.024537,0.896,9.097263e+01,2.995491e-02,3.6663,2.169,0,3,191,1909,99,98
