step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.905,0.000000e+00,6.081490e-04,1.7806,6.1571,0,8,27,1959,100,100
1,2159,2160,0.000463,0.905,1.382117e-08,1.312785e-03,0.8025,4.7557,0,8,117,1958,100,100
2,2158,2160,0.000926,0.905,3.840517e-08,6.743338e-04,0.7776,4.8181,0,8,72,1957,100,100
3,2157,2160,0.001389,0.905,1.737746e-08,4.357381e-03,0.8322,5.1888,0,8,9,1956,100,100
4,2156,2160,0.001852,0.905,7.683160e-07,5.098248e-03,0.8112,4.7693,0,8,84,1955,100,100
5,2155,2160,0.002315,0.905,4.491134e-07,8.961688e-04,0.7621,5.0743,0,6,14,1954,100,100
6,2154,2160,0.002778,0.905,1.265795e-06,1.163125e-03,0.7669,5.0156,0,6,18,1953,100,100
7,2153,2160,0.003241,0.905,1.352431e-06,1.675389e-04,0.7941,4.8478,0,5,42,1952,100,100
8,2152,2160,0.003704,0.905,1.747783e-06,6.911530e-03,0.7956,5.2324,0,8,29,1951,100,100
9,2151,2160,0.004167,0.905,3.260384e-06,1.299425e-02,0.8112,5.0317,0,8,49,1950,100,100
10,2150,2160,0.00463,0.905,5.086616e-06,2.765185e-04,0.7427,5.0239,0,3,123,1949,100,100
11,2149,2160,0.005093,0.905,6.333023e-06,1.354792e-02,0.7954,4.9791,0,8,55,1948,100,100
12,2148,2160,0.005556,0.905,1.624173e-05,1.832889e-02,0.8032,4.9899,0,8,177,1947,100,100
13,2147,2160,0.006019,0.905,1.034497e-05,9.984355e-03,0.7995,4.8965,0,8,32,1946,100,100
14,2146,2160,0.006481,0.905,1.273614e-05,2.016756e-02,0.7229,5.215,0,8,126,1945,100,100
15,2145,2160,0.006944,0.905,1.779989e-05,2.068206e-02,0.8283,4.7475,0,8,38,1944,100,100
16,2144,2160,0.007407,0.905,2.046816e-05,1.990946e-02,0.7893,4.757,0,8,148,1943,100,100
17,2143,2160,0.00787,0.905,2.960490e-05,1.965287e-02,0.7791,4.7207,0,8,184,1942,100,100
18,2142,2160,0.008333,0.905,2.567550e-05,5.355389e-04,0.8315,5.2608,0,5,133,1941,100,100
19,2141,2160,0.008796,0.905,3.062939e-05,2.206972e-02,0.7607,5.0788,0,8,170,1940,100,100
20,2140,2160,0.009259,0.905,4.046621e-05,2.459769e-02,0.7685,4.7744,0,8,122,1939,100,100
21,2139,2160,0.009722,0.905,4.176621e-05,2.684644e-02,0.7984,5.0204,0,8,94,1938,100,100
22,2138,2160,0.010185,0.905,5.498439e-05,2.984722e-02,0.7717,5.0058,0,8,181,1937,100,100
23,2137,2160,0.010648,0.905,5.275557e-05,3.889455e-03,0.7859,5.0778,0,6,98,1936,100,100
24,2136,2160,0.011111,0.905,7.253378e-05,7.099303e-03,0.6737,5.2203,0,6,59,1935,100,100
25,2135,2160,0.011574,0.905,7.943271e-05,1.488908e-02,0.7787,4.7244,0,8,5,1934,100,100
26,2134,2160,0.012037,0.905,1.005230e-04,2.981290e-02,0.7742,5.0301,0,8,140,1933,100,100
27,2133,2160,0.0125,0.905,9.957139e-05,2.959303e-02,0.7938,4.9911,0,8,194,1932,100,100
28,2132,2160,0.012963,0.905,1.169519e-04,3.358248e-02,0.8136,4.9765,0,8,167,1931,100,100
29,2131,2160,0.013426,0.905,1.135622e-04,4.176872e-02,0.8104,5.1556,0,8,3,1930,100,100
30,2130,2160,0.013889,0.905,1.264470e-04,2.899656e-02,0.7237,5.2872,0,8,183,1929,100,100
31,2129,2160,0.014352,0.905,1.528478e-04,3.119069e-02,0.7809,4.9862,0,8,15,1928,100,100
