epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.0945,0.11,0.232862,0.631
1,0.1085,0.099,0.230803,0.004
2,0.0683,0.079,0.230304,0.004
3,0.1111,0.143,0.230026,0.003
4,0.1085,0.099,0.229854,0.004
5,0.1145,0.103,0.229547,0.003
6,0.111,0.127,0.229419,0.003
7,0.1444,0.139,0.229208,0.003
8,0.1204,0.092,0.229087,0.003
9,0.1924,0.188,0.228789,0.004
10,0.1842,0.18,0.228584,0.003
11,0.2057,0.212,0.22835,0.003
12,0.1965,0.177,0.228091,0.004
13,0.1872,0.174,0.227752,0.003
14,0.2089,0.194,0.227393,0.003
15,0.1587,0.163,0.227237,0.003
16,0.1821,0.188,0.22682,0.003
17,0.2217,0.196,0.226369,0.003
18,0.3261,0.317,0.226022,0.003
19,0.1756,0.192,0.225641,0.003
20,0.231,0.231,0.225066,0.003
21,0.3593,0.358,0.224426,0.004
22,0.2095,0.205,0.223727,0.003
23,0.3262,0.323,0.222916,0.003
24,0.2584,0.254,0.222091,0.004
25,0.2242,0.213,0.221239,0.004
26,0.2287,0.216,0.220259,0.004
27,0.2275,0.205,0.219244,0.004
28,0.2913,0.285,0.217815,0.003
29,0.307,0.274,0.216579,0.004
30,0.3043,0.283,0.21514,0.004
31,0.2617,0.233,0.213676,0.004
32,0.2915,0.27,0.211952,0.003
33,0.3722,0.37,0.210233,0.003
34,0.2721,0.244,0.208427,0.008
35,0.2507,0.222,0.206603,0.008
36,0.3138,0.292,0.204685,0.006
37,0.3228,0.308,0.202907,0.006
38,0.3559,0.339,0.200972,0.006
39,0.3781,0.366,0.199002,0.006
40,0.3845,0.375,0.197213,0.007
41,0.3865,0.368,0.19533,0.007
42,0.395,0.389,0.193586,0.006
43,0.341,0.326,0.19185,0.006
44,0.3711,0.356,0.190176,0.007
45,0.3531,0.335,0.188558,0.006
46,0.3544,0.34,0.187,0.007
47,0.3974,0.381,0.185504,0.007
48,0.3846,0.368,0.183865,0.008
49,0.3967,0.384,0.182296,0.006
50,0.4035,0.393,0.18087,0.006
51,0.4103,0.399,0.179446,0.008
52,0.4073,0.399,0.177974,0.008
53,0.4255,0.42,0.176548,0.007
54,0.4177,0.406,0.175074,0.008
55,0.412,0.404,0.173611,0.009
56,0.4148,0.407,0.172188,0.008
57,0.4176,0.403,0.170716,0.01
58,0.4253,0.403,0.169221,0.005
59,0.4284,0.402,0.167728,0.006
60,0.4301,0.415,0.16638,0.008
61,0.4361,0.427,0.164934,0.006
62,0.417,0.414,0.163352,0.006
63,0.4389,0.434,0.162065,0.007
64,0.4232,0.409,0.160617,0.007
65,0.4319,0.421,0.15925,0.006
66,0.4382,0.428,0.157915,0.006
67,0.4278,0.418,0.156665,0.007
68,0.4466,0.429,0.1553,0.007
69,0.4443,0.438,0.15401,0.006
70,0.442,0.439,0.15275,0.007
71,0.4535,0.449,0.151539,0.006
72,0.461,0.45,0.150418,0.007
73,0.4612,0.461,0.14928,0.007
74,0.4486,0.445,0.148138,0.006
75,0.4513,0.451,0.147133,0.008
76,0.4665,0.475,0.146068,0.007
77,0.4679,0.473,0.145099,0.007
78,0.478,0.49,0.143937,0.007
79,0.4727,0.48,0.142974,0.007
80,0.4781,0.488,0.14193,0.006
81,0.486,0.491,0.140942,0.007
82,0.475,0.482,0.140041,0.007
83,0.4774,0.48,0.139197,0.006
84,0.4943,0.498,0.138221,0.009
85,0.4984,0.496,0.137396,0.008
86,0.5166,0.521,0.1364,0.006
87,0.5381,0.536,0.135579,0.005
88,0.5251,0.532,0.134729,0.006
89,0.5359,0.537,0.133892,0.007
90,0.5251,0.526,0.132984,0.007
91,0.5277,0.529,0.132138,0.007
92,0.5509,0.555,0.131273,0.005
93,0.5639,0.569,0.130407,0.005
94,0.5713,0.577,0.129553,0.008
95,0.5826,0.587,0.128677,0.008
96,0.5776,0.578,0.127877,0.008
97,0.5884,0.596,0.127031,0.007
98,0.5741,0.573,0.126189,0.007
99,0.5876,0.585,0.125321,0.008
100,0.6035,0.611,0.12444,0.006
101,0.6075,0.615,0.123559,0.006
102,0.5851,0.588,0.122811,0.005
103,0.6183,0.615,0.121835,0.006
104,0.6221,0.621,0.12091,0.006
105,0.6177,0.615,0.120165,0.008
106,0.625,0.627,0.119195,0.007
107,0.6401,0.645,0.118275,0.007
108,0.6415,0.637,0.117397,0.007
109,0.6403,0.634,0.116601,0.008
110,0.655,0.653,0.115688,0.007
111,0.657,0.646,0.114838,0.007
112,0.6548,0.648,0.114177,0.008
113,0.6628,0.653,0.112947,0.006
114,0.6701,0.666,0.112134,0.007
115,0.6669,0.658,0.111354,0.006
116,0.6644,0.658,0.110559,0.007
117,0.6716,0.663,0.109515,0.006
118,0.6769,0.667,0.108675,0.008
119,0.6762,0.676,0.107927,0.007
120,0.6787,0.674,0.107042,0.009
121,0.6775,0.672,0.106209,0.006
122,0.6861,0.687,0.105386,0.007
123,0.6954,0.684,0.104567,0.007
124,0.6929,0.691,0.103693,0.008
125,0.6945,0.697,0.102937,0.005
126,0.7006,0.695,0.102217,0.006
127,0.7085,0.698,0.101301,0.009
128,0.7046,0.694,0.100564,0.007
129,0.7088,0.697,0.099801,0.004
130,0.7082,0.691,0.099106,0.008
131,0.7141,0.7,0.098438,0.007
132,0.7142,0.701,0.09758,0.007
133,0.7203,0.699,0.096935,0.008
134,0.7212,0.699,0.096125,0.007
135,0.7181,0.7,0.095508,0.007
136,0.7213,0.7,0.094855,0.008
137,0.7227,0.703,0.094254,0.007
138,0.7183,0.698,0.093707,0.006
139,0.7313,0.712,0.09301,0.006
140,0.727,0.708,0.092336,0.006
141,0.7311,0.709,0.091672,0.007
142,0.7308,0.722,0.091166,0.008
143,0.7356,0.705,0.090467,0.006
144,0.7386,0.716,0.089997,0.008
145,0.736,0.708,0.089608,0.007
