step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.912,0.000000e+00,9.349024e-04,2.2884,6.0284,0,5,102,1959,100,100
1,2159,2160,0.000463,0.912,9.676798e-06,6.710647e-04,1.3064,4.8103,0,2,164,1958,100,100
2,2158,2160,0.000926,0.912,3.309220e-05,1.314125e-03,1.2178,4.7747,0,2,136,1957,100,100
3,2157,2160,0.001389,0.912,6.818053e-05,3.603704e-03,1.2439,5.0678,0,5,177,1956,100,100
4,2156,2160,0.001852,0.912,1.293849e-04,2.657203e-03,1.1505,5.2342,0,5,42,1955,100,100
5,2155,2160,0.002315,0.912,8.738595e-05,1.311968e-03,1.2545,4.7979,0,2,42,1954,100,100
6,2154,2160,0.002778,0.912,1.478662e-04,5.363937e-05,1.1642,4.8014,0,1,10,1953,100,100
7,2153,2160,0.003241,0.912,1.793448e-04,3.918217e-03,1.236,4.751,0,4,138,1952,100,100
8,2152,2160,0.003704,0.912,3.873996e-04,5.006318e-03,1.2977,5.218,0,4,145,1951,100,100
9,2151,2160,0.004167,0.912,4.032324e-04,4.309160e-03,1.1388,5.0528,0,4,108,1950,100,100
10,2150,2160,0.00463,0.912,4.411280e-04,7.003088e-03,1.2277,5.0086,0,5,187,1949,100,100
11,2149,2160,0.005093,0.912,7.168933e-04,1.197825e-02,1.1607,5.0411,0,5,11,1948,100,100
12,2148,2160,0.005556,0.912,6.906068e-04,6.845122e-03,1.2578,5.0512,0,5,98,1947,100,100
13,2147,2160,0.006019,0.912,9.950830e-04,9.295327e-03,1.2071,4.8225,0,5,5,1946,100,100
14,2146,2160,0.006481,0.912,1.032844e-03,8.746932e-03,1.3063,5.2222,0,5,110,1945,100,100
15,2145,2160,0.006944,0.912,1.097229e-03,9.923641e-04,1.1682,5.1096,0,9,181,1944,100,100
16,2144,2160,0.007407,0.912,1.216385e-03,7.217864e-03,1.2503,5.0509,0,4,125,1943,100,100
17,2143,2160,0.00787,0.912,1.623949e-03,2.514266e-03,1.1974,5.0693,0,2,17,1942,100,100
18,2142,2160,0.008333,0.912,1.893886e-03,1.009149e-02,1.1842,4.7423,0,4,122,1941,100,100
19,2141,2160,0.008796,0.912,2.447557e-03,8.929172e-03,1.1843,4.9775,0,4,0,1940,100,100
20,2140,2160,0.009259,0.912,2.681607e-03,1.440445e-02,1.1669,5.2215,0,5,69,1939,100,100
21,2139,2160,0.009722,0.912,3.397595e-03,1.619063e-02,1.1186,4.9829,0,5,44,1938,100,100
22,2138,2160,0.010185,0.912,2.858436e-03,1.549208e-02,1.1391,5.0547,0,5,176,1937,100,100
23,2137,2160,0.010648,0.912,3.560147e-03,1.183083e-02,1.2246,4.999,0,5,7,1936,100,100
24,2136,2160,0.011111,0.912,3.310499e-03,1.518442e-03,1.2406,5.0016,0,9,76,1935,100,100
25,2135,2160,0.011574,0.912,3.646907e-03,4.893532e-04,1.1999,4.9917,0,7,155,1934,100,100
26,2134,2160,0.012037,0.912,4.024508e-03,5.431108e-03,1.2067,5.1751,0,2,41,1933,100,100
27,2133,2160,0.0125,0.912,5.341260e-03,6.204979e-03,1.014,5.1314,0,2,52,1932,100,100
28,2132,2160,0.012963,0.912,5.837162e-03,6.143616e-03,1.2243,4.7672,0,2,72,1931,100,100
29,2131,2160,0.013426,0.912,6.460541e-03,2.254045e-02,1.1756,4.7664,0,5,155,1930,100,100
30,2130,2160,0.013889,0.912,8.127304e-03,2.030268e-02,1.2437,4.956,0,5,131,1929,100,100
31,2129,2160,0.014352,0.912,6.900896e-03,1.252002e-02,1.2574,5.0367,0,4,12,1928,100,100
32,2128,2160,0.014815,0.912,9.215889e-03,2.317432e-03,1.1512,5.164,0,9,17,1927,100,100
33,2127,2160,0.015278,0.912,9.776868e-03,2.262227e-02,1.1389,5.0058,0,5,79,1926,100,100
34,2126,2160,0.015741,0.913,1.184145e-02,2.932554e-02,1.1619,4.7605,0,5,99,1925,100,100
35,2125,2160,0.016204,0.913,1.147164e-02,2.412364e-02,1.2217,4.7254,0,5,107,1924,100,100
