epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.1128,0.13,0.230038,0.518
1,0.1686,0.174,0.222828,0.006
2,0.2223,0.248,0.215281,0.011
3,0.2811,0.292,0.208424,0.007
4,0.3334,0.337,0.201875,0.005
5,0.373,0.398,0.19545,0.007
6,0.412,0.434,0.189773,0.007
7,0.4359,0.45,0.184321,0.006
8,0.4497,0.461,0.179395,0.008
9,0.4605,0.46,0.174637,0.006
10,0.4774,0.472,0.170287,0.007
11,0.4998,0.477,0.166052,0.01
12,0.5071,0.485,0.162277,0.006
13,0.524,0.497,0.158494,0.008
14,0.541,0.511,0.155024,0.008
15,0.5647,0.529,0.151541,0.007
16,0.563,0.534,0.148396,0.007
17,0.5662,0.537,0.145411,0.007
18,0.5886,0.553,0.142321,0.007
19,0.5936,0.557,0.139613,0.006
20,0.6116,0.573,0.136656,0.006
21,0.6287,0.59,0.133816,0.008
22,0.6319,0.589,0.131225,0.006
23,0.6424,0.605,0.128503,0.007
24,0.6513,0.615,0.125945,0.009
25,0.6569,0.627,0.123417,0.007
26,0.6719,0.634,0.120923,0.007
27,0.671,0.646,0.118661,0.006
28,0.6827,0.646,0.116191,0.008
29,0.696,0.655,0.114008,0.006
30,0.7032,0.658,0.111846,0.006
31,0.7071,0.682,0.109803,0.009
32,0.7104,0.678,0.107675,0.006
33,0.717,0.678,0.105618,0.007
34,0.7287,0.695,0.103515,0.007
35,0.7351,0.7,0.101618,0.006
36,0.7438,0.714,0.099975,0.008
37,0.7501,0.713,0.098144,0.008
38,0.7506,0.725,0.09648,0.007
39,0.7612,0.727,0.09486,0.008
40,0.7652,0.744,0.0933,0.006
41,0.7646,0.742,0.091818,0.007
42,0.7686,0.75,0.090475,0.006
43,0.7732,0.751,0.088833,0.008
44,0.7761,0.751,0.087573,0.007
45,0.7799,0.76,0.086304,0.007
46,0.7835,0.764,0.084975,0.009
47,0.7897,0.772,0.08375,0.007
48,0.7859,0.769,0.082617,0.007
49,0.7904,0.773,0.081426,0.007
50,0.7956,0.778,0.080377,0.008
51,0.7992,0.78,0.079309,0.007
52,0.8014,0.781,0.07828,0.007
53,0.803,0.786,0.077229,0.007
54,0.804,0.79,0.076461,0.009
55,0.8101,0.788,0.075458,0.008
56,0.8059,0.791,0.074833,0.006
57,0.8113,0.79,0.073828,0.004
58,0.8142,0.797,0.072896,0.004
59,0.8167,0.798,0.072163,0.004
60,0.8186,0.798,0.071402,0.003
61,0.8198,0.799,0.070704,0.004
62,0.8175,0.807,0.069945,0.003
63,0.8223,0.806,0.06926,0.003
64,0.821,0.807,0.068568,0.004
65,0.8239,0.813,0.067961,0.003
66,0.8251,0.811,0.067363,0.004
67,0.826,0.809,0.066775,0.004
68,0.8281,0.814,0.06625,0.003
69,0.8302,0.819,0.065568,0.004
70,0.8316,0.81,0.06526,0.004
71,0.8318,0.82,0.064514,0.004
