step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,2.136778e-06,0.0008,4.5497,0,8,7,1959,100,100
1,2159,2160,0.000463,0.916,2.273531e-06,4.087936e-05,0.7572,3.6387,0,2,14,1958,100,100
2,2158,2160,0.000926,0.916,1.368362e-03,4.217599e-05,0.6739,3.6243,0,2,25,1957,100,100
3,2157,2160,0.001389,0.916,2.390675e-03,5.376852e-05,0.7214,3.6534,0,8,25,1956,100,100
4,2156,2160,0.001852,0.916,6.821732e-03,6.004094e-05,0.6851,3.6116,0,2,169,1955,100,100
5,2155,2160,0.002315,0.916,9.378113e-03,5.860948e-05,0.6727,3.6537,0,6,0,1954,100,100
6,2154,2160,0.002778,0.916,7.504638e-03,5.846086e-05,0.7011,3.6388,0,6,21,1953,100,100
7,2153,2160,0.003241,0.916,6.409311e-03,6.374725e-05,0.7009,3.6341,0,3,55,1952,100,100
8,2152,2160,0.003704,0.916,8.896171e-03,7.071765e-05,0.6527,3.645,0,5,156,1951,100,100
9,2151,2160,0.004167,0.916,1.724645e-02,7.290968e-05,0.6483,3.6485,0,6,6,1950,100,100
10,2150,2160,0.00463,0.916,1.184289e-02,7.986497e-05,0.7023,3.6584,0,0,153,1949,100,100
11,2149,2160,0.005093,0.916,1.144481e-02,1.049417e-04,0.7041,3.6573,0,7,155,1948,100,100
12,2148,2160,0.005556,0.916,2.446263e-02,1.084012e-04,0.7338,3.7034,0,6,51,1947,100,100
13,2147,2160,0.006019,0.916,1.843359e-02,1.171441e-04,0.717,3.6409,0,1,175,1946,100,100
14,2146,2160,0.006481,0.916,2.441451e-02,1.173822e-04,0.6796,3.6344,0,9,30,1945,100,100
15,2145,2160,0.006944,0.916,2.572834e-02,1.339502e-04,0.7487,3.6343,0,5,29,1944,100,100
16,2144,2160,0.007407,0.916,6.455915e-02,1.420405e-04,0.7193,3.6175,0,6,28,1943,100,100
17,2143,2160,0.00787,0.916,3.937785e-02,1.422822e-04,0.6729,3.646,0,8,4,1942,100,100
18,2142,2160,0.008333,0.916,5.307785e-02,1.371207e-04,0.646,3.6738,0,1,4,1941,100,100
19,2141,2160,0.008796,0.916,6.246104e-02,1.829493e-04,0.7193,3.632,0,0,68,1940,100,100
20,2140,2160,0.009259,0.916,7.286817e-02,1.912415e-04,0.7172,3.669,0,8,88,1939,100,100
21,2139,2160,0.009722,0.916,1.060477e-01,1.905277e-04,0.6904,3.6314,0,6,105,1938,100,100
22,2138,2160,0.010185,0.916,8.937421e-02,2.453267e-04,0.6908,3.6471,0,8,183,1937,100,100
23,2137,2160,0.010648,0.916,1.548826e-01,2.646236e-04,0.64,3.6537,0,6,67,1936,100,100
24,2136,2160,0.011111,0.916,1.291452e-01,2.695332e-04,0.6652,3.6461,0,9,42,1935,100,100
25,2135,2160,0.011574,0.916,1.564560e-01,2.779932e-04,0.6684,3.6135,0,9,40,1934,100,100
26,2134,2160,0.012037,0.916,1.772990e-01,2.830699e-04,0.6902,3.628,0,6,120,1933,100,100
27,2133,2160,0.0125,0.916,1.465284e-01,3.082095e-04,0.669,3.7099,0,9,4,1932,100,100
28,2132,2160,0.012963,0.916,1.816630e-01,3.136187e-04,0.7201,3.6494,0,8,98,1931,100,100
29,2131,2160,0.013426,0.916,2.786905e-01,3.187359e-04,0.654,3.6186,0,3,191,1930,100,100
30,2130,2160,0.013889,0.916,3.241412e-01,3.496488e-04,0.6619,3.742,0,7,56,1929,100,100
31,2129,2160,0.014352,0.916,4.984927e-01,3.603523e-04,0.6748,3.6612,0,0,116,1928,100,100
32,2128,2160,0.014815,0.916,4.860946e-01,3.788760e-04,0.7124,3.6559,0,3,123,1927,100,100
33,2127,2160,0.015278,0.916,5.494070e-01,3.820923e-04,0.6683,3.6387,0,6,136,1926,100,100
34,2126,2160,0.015741,0.916,4.831361e-01,3.905960e-04,0.6857,3.6453,0,4,67,1925,100,100
35,2125,2160,0.016204,0.917,5.832249e-01,3.921768e-04,0.7126,3.6505,0,6,104,1924,100,100
36,2124,2160,0.016667,0.917,5.087004e-01,4.080700e-04,0.6614,3.667,0,8,112,1923,100,100
37,2123,2160,0.01713,0.917,6.705811e-01,4.070759e-04,0.6921,3.653,0,9,73,1922,100,100
38,2122,2160,0.017593,0.917,6.712340e-01,4.280572e-04,0.6491,3.6396,0,5,75,1921,100,100
39,2121,2160,0.018056,0.917,1.010863e+00,4.182946e-04,0.6984,3.6508,0,9,184,1920,100,100
40,2120,2160,0.018519,0.917,8.717538e-01,4.276916e-04,0.7674,3.6468,0,1,97,1919,100,100
41,2119,2160,0.018981,0.917,8.605186e-01,4.385652e-04,0.6671,3.6334,0,3,10,1918,100,100
42,2118,2160,0.019444,0.917,9.149187e-01,4.439020e-04,0.6875,3.6363,0,3,158,1917,100,100
