epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.0894,0.087,0.230322,0.469
1,0.0894,0.087,0.230315,0.004
2,0.0894,0.087,0.230309,0.004
3,0.0894,0.087,0.230302,0.004
4,0.0894,0.087,0.230296,0.004
5,0.0894,0.087,0.23029,0.003
6,0.0894,0.087,0.230283,0.003
7,0.0894,0.087,0.230278,0.003
8,0.0894,0.087,0.230272,0.003
9,0.0894,0.087,0.230266,0.003
10,0.0894,0.087,0.23026,0.003
11,0.0894,0.087,0.230255,0.004
12,0.0894,0.087,0.23025,0.003
13,0.0894,0.087,0.230244,0.003
14,0.0894,0.087,0.230238,0.003
15,0.0895,0.087,0.230233,0.003
16,0.0895,0.087,0.230228,0.003
17,0.0896,0.087,0.230222,0.004
18,0.0896,0.087,0.230216,0.003
19,0.0899,0.087,0.23021,0.003
20,0.09,0.086,0.230203,0.003
21,0.0902,0.086,0.230196,0.003
22,0.0909,0.086,0.230189,0.003
23,0.0915,0.087,0.230182,0.003
24,0.0923,0.091,0.230174,0.004
25,0.0933,0.092,0.230165,0.003
26,0.0941,0.093,0.230157,0.004
27,0.0945,0.093,0.230148,0.004
28,0.0968,0.094,0.230137,0.003
29,0.0986,0.095,0.230127,0.003
30,0.1019,0.101,0.230116,0.003
31,0.1049,0.104,0.230104,0.003
32,0.1079,0.11,0.230091,0.003
33,0.1103,0.114,0.230077,0.004
34,0.1143,0.125,0.230063,0.003
35,0.1167,0.129,0.230049,0.003
36,0.1211,0.132,0.230035,0.003
37,0.1238,0.136,0.230019,0.003
38,0.1269,0.144,0.230002,0.003
39,0.1303,0.147,0.229983,0.003
40,0.1365,0.152,0.229963,0.004
41,0.1396,0.155,0.229943,0.003
42,0.1408,0.157,0.229923,0.003
43,0.1445,0.162,0.229898,0.003
44,0.1458,0.161,0.229875,0.004
45,0.1491,0.163,0.229847,0.003
46,0.1503,0.163,0.229823,0.003
47,0.152,0.166,0.229793,0.003
48,0.1545,0.163,0.229759,0.003
49,0.1581,0.167,0.229726,0.003
50,0.1623,0.171,0.229686,0.003
51,0.1678,0.18,0.229646,0.003
52,0.1712,0.188,0.229604,0.003
53,0.1751,0.193,0.229559,0.003
54,0.181,0.198,0.22951,0.003
55,0.1813,0.192,0.229455,0.003
56,0.1822,0.196,0.229401,0.003
57,0.1835,0.201,0.229342,0.003
58,0.19,0.2,0.229268,0.005
59,0.1902,0.202,0.229199,0.003
60,0.1878,0.202,0.229115,0.004
61,0.1855,0.199,0.229027,0.003
62,0.1819,0.194,0.228933,0.004
63,0.1807,0.193,0.228837,0.004
64,0.1783,0.192,0.228719,0.003
65,0.1753,0.19,0.228584,0.003
66,0.1714,0.186,0.228441,0.003
67,0.17,0.184,0.228284,0.003
68,0.1669,0.176,0.228099,0.003
69,0.1662,0.176,0.227919,0.004
70,0.1611,0.173,0.227676,0.004
71,0.157,0.164,0.227437,0.004
72,0.1531,0.164,0.227152,0.003
73,0.1474,0.153,0.226829,0.003
74,0.1469,0.154,0.226451,0.003
75,0.1459,0.15,0.226032,0.003
76,0.142,0.149,0.225589,0.003
77,0.1376,0.147,0.225051,0.004
78,0.1373,0.147,0.224464,0.003
79,0.138,0.148,0.223789,0.003
80,0.1392,0.148,0.223055,0.003
81,0.1445,0.15,0.222222,0.003
82,0.1619,0.177,0.221291,0.003
83,0.1763,0.192,0.220193,0.003
84,0.2048,0.212,0.219007,0.003
85,0.2256,0.229,0.217605,0.004
86,0.246,0.247,0.216177,0.003
87,0.2774,0.281,0.214545,0.004
88,0.2958,0.306,0.212762,0.003
89,0.2983,0.307,0.210912,0.003
90,0.3119,0.32,0.208883,0.003
91,0.3172,0.321,0.206774,0.003
92,0.3219,0.318,0.204624,0.003
93,0.3254,0.323,0.20263,0.004
94,0.3216,0.316,0.20066,0.003
95,0.3235,0.32,0.198551,0.004
96,0.3205,0.32,0.196437,0.003
97,0.3239,0.324,0.194309,0.003
98,0.3269,0.326,0.192312,0.003
99,0.3301,0.333,0.19043,0.003
100,0.327,0.333,0.188676,0.004
101,0.33,0.334,0.187052,0.003
102,0.3321,0.33,0.185271,0.003
103,0.3365,0.335,0.18363,0.003
104,0.3374,0.334,0.181937,0.003
105,0.3396,0.337,0.180409,0.004
106,0.3413,0.338,0.17878,0.003
107,0.3393,0.346,0.176979,0.003
108,0.3436,0.349,0.175261,0.003
109,0.3454,0.354,0.173457,0.004
110,0.3488,0.348,0.171681,0.003
111,0.3536,0.352,0.169709,0.003
112,0.3593,0.364,0.167466,0.003
113,0.3655,0.366,0.165252,0.004
114,0.377,0.376,0.162655,0.003
115,0.4031,0.4,0.159857,0.004
116,0.4166,0.411,0.156882,0.004
117,0.4362,0.435,0.15394,0.003
118,0.4623,0.446,0.150883,0.003
119,0.4827,0.482,0.147826,0.003
120,0.4841,0.473,0.144905,0.003
121,0.4924,0.484,0.142084,0.003
122,0.5,0.5,0.139498,0.003
123,0.5068,0.497,0.136937,0.003
124,0.5067,0.488,0.134602,0.003
125,0.5137,0.498,0.132512,0.003
126,0.5137,0.501,0.130409,0.003
127,0.5147,0.504,0.128578,0.003
128,0.5194,0.516,0.126575,0.004
129,0.5327,0.531,0.124899,0.003
130,0.5404,0.533,0.123425,0.003
131,0.5436,0.533,0.122443,0.003
132,0.5506,0.549,0.120561,0.003
133,0.5623,0.568,0.119437,0.003
134,0.5742,0.56,0.11834,0.003
135,0.5794,0.576,0.117039,0.003
136,0.5833,0.576,0.116253,0.003
137,0.5803,0.569,0.115086,0.004
138,0.587,0.581,0.113914,0.004
139,0.5838,0.584,0.113174,0.003
140,0.5801,0.574,0.112365,0.003
141,0.6012,0.593,0.11153,0.003
142,0.6038,0.588,0.110322,0.003
143,0.6035,0.602,0.109939,0.003
