step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.914,0.000000e+00,3.389977e-04,4.6269,0.839,2,2,6,1960,100,99
1,2159,2160,0.000463,0.914,5.209210e-06,6.102893e-03,3.9323,0.0423,1,6,2,1960,99,99
2,2158,2160,0.000926,0.914,1.527097e-04,2.955563e-03,3.8984,0.1109,2,9,6,1960,99,98
3,2157,2160,0.001389,0.914,5.421759e-04,5.102712e-03,3.907,0.0536,2,1,6,1960,99,97
4,2156,2160,0.001852,0.914,1.710994e-03,5.267065e-03,3.8313,0.0495,2,0,6,1960,99,96
5,2155,2160,0.002315,0.914,3.025013e-03,1.454732e-05,3.9173,1.4713,0,6,27,1959,99,96
6,2154,2160,0.002778,0.914,3.170130e-03,8.281292e-03,3.8143,0.2103,2,6,6,1959,99,95
7,2153,2160,0.003241,0.914,6.267255e-03,4.210763e-05,3.9366,2.0818,0,4,59,1958,99,95
8,2152,2160,0.003704,0.914,6.978170e-03,5.245813e-05,3.8763,2.0733,0,4,118,1957,99,95
9,2151,2160,0.004167,0.914,7.950392e-03,4.354933e-05,3.8047,2.0429,0,6,96,1956,99,95
10,2150,2160,0.00463,0.914,8.772674e-03,6.863933e-05,3.8773,2.0769,0,4,3,1955,99,95
11,2149,2160,0.005093,0.914,1.051966e-02,1.068432e-04,3.8709,2.0606,0,2,28,1954,99,95
12,2148,2160,0.005556,0.914,1.295886e-02,2.008994e-02,3.9703,0.6403,2,4,6,1954,99,94
13,2147,2160,0.006019,0.914,3.010219e-02,1.122366e-04,3.9577,1.6985,0,2,5,1953,99,94
14,2146,2160,0.006481,0.914,3.343259e-02,2.123008e-02,3.9498,0.0518,2,8,6,1953,99,93
15,2145,2160,0.006944,0.914,5.321440e-02,6.628977e-05,3.8071,2.0493,0,6,42,1952,99,93
16,2144,2160,0.007407,0.914,5.566006e-02,1.436372e-04,3.9346,2.0923,0,2,194,1951,99,93
17,2143,2160,0.00787,0.914,5.968457e-02,2.238113e-03,3.9037,0.8399,1,6,6,1951,98,93
18,2142,2160,0.008333,0.914,9.044385e-02,2.761031e-02,3.8486,0.5335,2,7,6,1951,98,92
19,2141,2160,0.008796,0.913,1.140588e-01,2.189749e-02,3.8268,0.7941,2,3,6,1951,98,91
20,2140,2160,0.009259,0.912,1.440346e-01,3.543518e-02,3.8166,0.9556,1,6,0,1951,97,91
21,2139,2160,0.009722,0.911,1.719752e-01,7.180601e-05,3.858,2.0244,0,8,44,1950,97,91
22,2138,2160,0.010185,0.911,1.760538e-01,1.382195e-02,3.8725,1.8647,1,6,9,1950,96,91
23,2137,2160,0.010648,0.911,2.485348e-01,5.462310e-03,3.9248,0.5468,1,6,8,1950,95,91
24,2136,2160,0.011111,0.911,2.294609e-01,1.727202e-02,3.7759,1.4808,1,6,1,1950,94,91
25,2135,2160,0.011574,0.911,2.788029e-01,3.256080e-02,3.9305,1.2147,1,6,4,1950,93,91
