step,neurons_pruned,total_neurons,neuron_sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_neuron,layer_0_neurons,layer_1_neurons
0,1,20,0.0,0.916,0.000000e+00,1.508648e-01,0.0593,0.0,0,6,9,10
1,2,20,0.05,0.917,0.000000e+00,4.528745e-02,0.0585,0.0,1,0,9,9
2,3,20,0.1,0.917,0.000000e+00,3.053731e-01,0.0543,3.0789,1,9,9,8
3,4,20,0.15,0.914,1.004600e+04,3.147957e-01,0.3116,2.2199,0,0,8,8
4,5,20,0.2,0.912,2.628868e+04,4.674545e-01,0.0623,2.1886,1,7,8,7
5,6,20,0.25,0.869,5.857911e+04,4.065960e-01,0.0659,2.1229,0,9,7,7
6,7,20,0.3,0.885,7.933187e+04,2.937798e-01,0.0704,2.2471,1,2,7,6
7,8,20,0.35,0.881,6.169105e+04,5.997632e-01,0.0519,2.2974,0,7,6,6
8,9,20,0.4,0.796,3.204734e+05,5.642741e-01,0.0617,2.2153,1,5,6,5
9,10,20,0.45,0.709,4.129567e+05,4.434335e-01,0.056,2.2651,0,3,5,5
10,11,20,0.5,0.675,3.860614e+05,5.151861e-01,0.0566,2.342,0,8,4,5
11,12,20,0.55,0.568,4.460353e+05,4.033813e-01,0.0408,2.2523,1,8,4,4
12,13,20,0.6,0.604,4.076776e+05,6.047711e-01,0.0446,2.2329,0,1,3,4
13,14,20,0.65,0.316,6.227969e+05,5.026278e-01,0.0418,2.1701,1,1,3,3
14,15,20,0.7,0.253,5.173079e+05,5.944778e-01,0.0323,2.2388,1,4,3,2
