step,neurons_pruned,total_neurons,neuron_sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_neuron,layer_0_neurons,layer_1_neurons
0,1,20,0.0,0.916,0.000000e+00,1.508648e-01,0.1126,0.0,0,6,9,10
1,2,20,0.05,0.917,0.000000e+00,4.528745e-02,0.1036,0.0,1,0,9,9
2,3,20,0.1,0.917,0.000000e+00,3.053908e-01,0.0968,4.7112,1,9,9,8
3,4,20,0.15,0.914,1.017774e+04,3.147452e-01,0.091,3.2863,0,0,8,8
4,5,20,0.2,0.913,2.647486e+04,4.678151e-01,0.0845,3.2776,1,7,8,7
5,6,20,0.25,0.87,5.956759e+04,4.066580e-01,0.0788,3.2683,0,9,7,7
6,7,20,0.3,0.886,7.979991e+04,2.942468e-01,0.0748,3.2814,1,2,7,6
7,8,20,0.35,0.882,6.247143e+04,6.000322e-01,0.0698,3.2778,0,7,6,6
8,9,20,0.4,0.794,3.187731e+05,5.648422e-01,0.0646,3.2736,1,5,6,5
9,10,20,0.45,0.715,4.067573e+05,4.439300e-01,0.0576,3.2802,0,3,5,5
10,11,20,0.5,0.683,3.797386e+05,5.148079e-01,0.0543,3.2837,0,8,4,5
11,12,20,0.55,0.563,4.459248e+05,4.057651e-01,0.0474,3.2781,1,8,4,4
12,13,20,0.6,0.6,4.107997e+05,6.067052e-01,0.0424,3.2916,0,1,3,4
13,14,20,0.65,0.307,6.391612e+05,5.024019e-01,0.0367,3.2711,1,1,3,3
14,15,20,0.7,0.256,5.318211e+05,5.936540e-01,0.0318,3.2809,1,4,3,2
