step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,5.882715e-03,0.6478,4.5585,0,0,0,1959,100,100
1,2159,2160,0.000463,0.916,1.778352e+01,5.944241e-04,0.0139,3.3586,0,6,0,1958,100,100
2,2158,2160,0.000926,0.916,9.786692e+00,1.110841e-02,0.0067,3.3564,0,6,1,1957,100,100
3,2157,2160,0.001389,0.916,7.250468e+00,3.430360e-03,0.0066,3.348,0,6,2,1956,100,100
4,2156,2160,0.001852,0.916,6.197007e+00,4.969085e-03,0.0062,3.3561,0,6,3,1955,100,100
5,2155,2160,0.002315,0.916,5.638801e+00,2.496306e-03,0.0062,3.3488,0,6,4,1954,100,100
6,2154,2160,0.002778,0.916,5.280541e+00,1.435732e-02,0.0068,3.3323,0,6,5,1953,100,100
7,2153,2160,0.003241,0.916,5.031500e+00,1.182393e-04,0.0068,3.3231,0,6,6,1952,100,100
8,2152,2160,0.003704,0.916,4.847966e+00,7.541061e-03,0.0065,3.3419,0,6,7,1951,100,100
9,2151,2160,0.004167,0.916,4.717848e+00,3.491376e-03,0.0064,3.3293,0,6,8,1950,100,100
10,2150,2160,0.00463,0.916,4.613171e+00,3.630917e-03,0.0064,3.3449,0,6,9,1949,100,100
11,2149,2160,0.005093,0.916,4.532522e+00,7.727021e-03,0.0062,3.3299,0,6,10,1948,100,100
12,2148,2160,0.005556,0.916,4.464282e+00,1.626260e-02,0.0061,3.3398,0,6,11,1947,100,100
13,2147,2160,0.006019,0.916,4.409460e+00,1.198850e-02,0.0068,3.3397,0,6,12,1946,100,100
14,2146,2160,0.006481,0.916,4.365839e+00,9.800451e-03,0.0061,3.3274,0,6,13,1945,100,100
15,2145,2160,0.006944,0.916,4.328428e+00,6.619535e-03,0.0067,3.3265,0,6,14,1944,100,100
16,2144,2160,0.007407,0.916,4.296255e+00,6.522781e-04,0.0065,3.3225,0,6,15,1943,100,100
17,2143,2160,0.00787,0.916,4.267727e+00,1.062038e-02,0.0063,3.3323,0,6,16,1942,100,100
18,2142,2160,0.008333,0.916,4.240269e+00,7.796194e-03,0.0065,3.3421,0,6,17,1941,100,100
19,2141,2160,0.008796,0.916,4.214786e+00,2.400010e-03,0.0065,3.3541,0,6,18,1940,100,100
20,2140,2160,0.009259,0.916,4.191597e+00,1.631804e-02,0.0065,3.3413,0,6,19,1939,100,100
21,2139,2160,0.009722,0.916,4.167509e+00,1.799898e-03,0.0062,3.3553,0,6,20,1938,100,100
22,2138,2160,0.010185,0.916,4.146355e+00,6.854933e-05,0.0065,3.3312,0,6,21,1937,100,100
23,2137,2160,0.010648,0.916,4.124975e+00,1.503976e-02,0.0062,3.3306,0,6,22,1936,100,100
24,2136,2160,0.011111,0.916,4.106680e+00,1.017458e-03,0.0063,3.3323,0,6,23,1935,100,100
25,2135,2160,0.011574,0.916,4.089124e+00,1.922034e-03,0.007,3.3378,0,6,24,1934,100,100
26,2134,2160,0.012037,0.916,4.072353e+00,1.181209e-02,0.0067,3.3287,0,6,25,1933,100,100
27,2133,2160,0.0125,0.916,4.055580e+00,7.583400e-03,0.0068,3.334,0,6,26,1932,100,100
28,2132,2160,0.012963,0.916,4.039702e+00,2.017394e-02,0.0062,3.3271,0,6,27,1931,100,100
29,2131,2160,0.013426,0.916,4.025046e+00,1.385362e-04,0.0061,3.3464,0,6,28,1930,100,100
30,2130,2160,0.013889,0.916,4.011639e+00,5.334563e-03,0.0067,3.3303,0,6,29,1929,100,100
31,2129,2160,0.014352,0.916,3.998134e+00,7.025504e-03,0.0067,3.3581,0,6,30,1928,100,100
32,2128,2160,0.014815,0.916,3.985336e+00,6.134304e-03,0.0067,3.3271,0,6,31,1927,100,100
33,2127,2160,0.015278,0.916,3.973383e+00,1.137850e-02,0.0067,3.3435,0,6,32,1926,100,100
34,2126,2160,0.015741,0.916,3.960416e+00,9.763130e-04,0.0061,3.3474,0,6,33,1925,100,100
35,2125,2160,0.016204,0.916,3.949008e+00,1.595948e-02,0.0061,3.3666,0,6,34,1924,100,100
36,2124,2160,0.016667,0.916,3.937461e+00,1.041376e-02,0.0069,3.3401,0,6,35,1923,100,100
37,2123,2160,0.01713,0.916,3.926139e+00,3.354590e-03,0.0062,3.3451,0,6,36,1922,100,100
38,2122,2160,0.017593,0.916,3.915531e+00,2.363429e-03,0.0065,3.3392,0,6,37,1921,100,100
39,2121,2160,0.018056,0.916,3.905749e+00,2.089201e-03,0.0066,3.3443,0,6,38,1920,100,100
40,2120,2160,0.018519,0.916,3.895738e+00,3.417795e-02,0.0067,3.3383,0,6,39,1919,100,100
41,2119,2160,0.018981,0.916,3.885672e+00,6.760059e-04,0.0063,3.3425,0,6,40,1918,100,100
42,2118,2160,0.019444,0.916,3.876128e+00,7.465868e-03,0.0067,3.3351,0,6,41,1917,100,100
43,2117,2160,0.019907,0.916,3.867078e+00,1.863866e-03,0.0062,2.7223,1,0,0,1917,99,100
44,2116,2160,0.02037,0.916,3.859855e+00,7.702146e-03,0.0063,3.3453,1,0,1,1917,98,100
