step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,5.878897e-03,0.6388,4.609,0,0,0,1959,100,100
1,2159,2160,0.000463,0.916,1.802146e+01,6.084109e-04,0.0136,3.3911,0,6,0,1958,100,100
2,2158,2160,0.000926,0.916,9.799720e+00,1.110840e-02,0.0065,3.3706,0,6,1,1957,100,100
3,2157,2160,0.001389,0.916,7.234884e+00,3.430565e-03,0.0068,3.4255,0,6,2,1956,100,100
4,2156,2160,0.001852,0.916,6.151211e+00,4.969193e-03,0.0067,3.4614,0,6,3,1955,100,100
5,2155,2160,0.002315,0.916,5.572802e+00,2.496390e-03,0.0073,3.3967,0,6,4,1954,100,100
6,2154,2160,0.002778,0.916,5.206657e+00,1.435732e-02,0.0066,3.4294,0,6,5,1953,100,100
7,2153,2160,0.003241,0.916,4.956281e+00,1.183120e-04,0.0064,3.3878,0,6,6,1952,100,100
8,2152,2160,0.003704,0.916,4.769276e+00,7.541056e-03,0.0065,3.4071,0,6,7,1951,100,100
9,2151,2160,0.004167,0.916,4.637370e+00,3.491489e-03,0.0074,3.3736,0,6,8,1950,100,100
10,2150,2160,0.00463,0.916,4.522700e+00,3.630968e-03,0.0063,3.3879,0,6,9,1949,100,100
11,2149,2160,0.005093,0.916,4.437584e+00,7.726975e-03,0.0066,3.4417,0,6,10,1948,100,100
12,2148,2160,0.005556,0.916,4.374771e+00,1.626260e-02,0.0062,3.4376,0,6,11,1947,100,100
13,2147,2160,0.006019,0.916,4.318542e+00,1.198850e-02,0.0071,3.3935,0,6,12,1946,100,100
14,2146,2160,0.006481,0.916,4.273845e+00,9.800463e-03,0.0063,3.3965,0,6,13,1945,100,100
15,2145,2160,0.006944,0.916,4.232806e+00,6.619547e-03,0.0062,3.3992,0,6,14,1944,100,100
16,2144,2160,0.007407,0.916,4.198145e+00,6.524261e-04,0.0061,3.4032,0,6,15,1943,100,100
17,2143,2160,0.00787,0.916,4.166951e+00,1.062038e-02,0.0073,3.3914,0,6,16,1942,100,100
18,2142,2160,0.008333,0.916,4.139671e+00,7.796197e-03,0.0062,3.4044,0,6,17,1941,100,100
19,2141,2160,0.008796,0.916,4.113138e+00,2.400047e-03,0.0064,3.4673,0,6,18,1940,100,100
20,2140,2160,0.009259,0.916,4.087654e+00,1.631803e-02,0.0066,3.4507,0,6,19,1939,100,100
21,2139,2160,0.009722,0.916,4.064564e+00,1.799866e-03,0.0067,3.3943,0,6,20,1938,100,100
22,2138,2160,0.010185,0.916,4.043768e+00,6.679926e-05,0.0066,3.3925,0,6,21,1937,100,100
23,2137,2160,0.010648,0.916,4.023797e+00,1.503976e-02,0.0067,3.4043,0,6,22,1936,100,100
24,2136,2160,0.011111,0.916,4.005451e+00,1.017431e-03,0.0067,3.392,0,6,23,1935,100,100
