step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,5.689984e-05,5.5181,0.771,0,6,0,1959,100,100
1,2159,2160,0.000463,0.916,0.000000e+00,1.110331e-02,3.182,0.0872,0,6,1,1958,100,100
2,2158,2160,0.000926,0.916,0.000000e+00,3.423426e-03,3.1697,0.0773,0,6,2,1957,100,100
3,2157,2160,0.001389,0.916,0.000000e+00,4.966523e-03,3.237,0.078,0,6,3,1956,100,100
4,2156,2160,0.001852,0.916,0.000000e+00,2.492971e-03,3.2421,0.0791,0,6,4,1955,100,100
5,2155,2160,0.002315,0.916,0.000000e+00,1.435691e-02,3.1921,0.0785,0,6,5,1954,100,100
6,2154,2160,0.002778,0.916,0.000000e+00,7.026572e-05,3.172,0.0784,0,6,6,1953,100,100
7,2153,2160,0.003241,0.916,0.000000e+00,7.540648e-03,3.1961,0.078,0,6,7,1952,100,100
8,2152,2160,0.003704,0.916,0.000000e+00,3.490606e-03,3.1862,0.0776,0,6,8,1951,100,100
9,2151,2160,0.004167,0.916,0.000000e+00,3.630354e-03,3.2112,0.0782,0,6,9,1950,100,100
10,2150,2160,0.00463,0.916,0.000000e+00,7.726777e-03,3.2297,0.0783,0,6,10,1949,100,100
11,2149,2160,0.005093,0.916,0.000000e+00,1.626251e-02,3.2248,0.0803,0,6,11,1948,100,100
12,2148,2160,0.005556,0.916,0.000000e+00,1.198841e-02,3.2136,0.0765,0,6,12,1947,100,100
13,2147,2160,0.006019,0.916,0.000000e+00,9.800349e-03,3.2161,0.0777,0,6,13,1946,100,100
14,2146,2160,0.006481,0.916,0.000000e+00,6.619408e-03,3.1929,0.0772,0,6,14,1945,100,100
15,2145,2160,0.006944,0.916,0.000000e+00,6.511355e-04,3.1733,0.0771,0,6,15,1944,100,100
16,2144,2160,0.007407,0.916,0.000000e+00,1.062031e-02,3.196,3.3801,0,6,16,1943,100,100
17,2143,2160,0.00787,0.916,1.020207e-05,7.859657e-03,3.1806,0.0773,0,6,77,1942,100,100
18,2142,2160,0.008333,0.916,1.020207e-05,1.017434e-02,3.2007,0.0795,0,6,86,1941,100,100
19,2141,2160,0.008796,0.916,1.020207e-05,1.863756e-03,3.1935,0.077,1,0,0,1941,99,100
20,2140,2160,0.009259,0.916,1.020207e-05,7.702104e-03,3.1927,0.0791,1,0,1,1941,98,100
21,2139,2160,0.009722,0.916,1.020207e-05,1.256231e-02,3.2213,0.0768,1,0,2,1941,97,100
22,2138,2160,0.010185,0.916,1.020207e-05,4.386955e-03,3.2069,0.0778,1,0,3,1941,96,100
23,2137,2160,0.010648,0.916,1.020207e-05,1.082943e-02,3.2044,3.3214,1,0,4,1941,95,100
24,2136,2160,0.011111,0.916,4.475442e-01,1.047345e-04,3.2258,3.315,0,6,21,1940,95,100
