Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e13_obd
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.7152e+00
Starting OBD sparsification loop
step    0 | acc=0.9160 | NZ=  2160 | sparsity=0.0000 | d_m=0.0000e+00
step    1 | acc=0.9160 | NZ=  2159 | sparsity=0.0005 | d_m=0.0000e+00
step    2 | acc=0.9160 | NZ=  2158 | sparsity=0.0009 | d_m=0.0000e+00
step    3 | acc=0.9160 | NZ=  2157 | sparsity=0.0014 | d_m=0.0000e+00
step    4 | acc=0.9160 | NZ=  2156 | sparsity=0.0019 | d_m=0.0000e+00
step    5 | acc=0.9160 | NZ=  2155 | sparsity=0.0023 | d_m=0.0000e+00
step    6 | acc=0.9160 | NZ=  2154 | sparsity=0.0028 | d_m=0.0000e+00
step    7 | acc=0.9160 | NZ=  2153 | sparsity=0.0032 | d_m=0.0000e+00
step    8 | acc=0.9160 | NZ=  2152 | sparsity=0.0037 | d_m=0.0000e+00
step    9 | acc=0.9160 | NZ=  2151 | sparsity=0.0042 | d_m=0.0000e+00
step   10 | acc=0.9160 | NZ=  2150 | sparsity=0.0046 | d_m=0.0000e+00
step   11 | acc=0.9160 | NZ=  2149 | sparsity=0.0051 | d_m=0.0000e+00
step   12 | acc=0.9160 | NZ=  2148 | sparsity=0.0056 | d_m=0.0000e+00
step   13 | acc=0.9160 | NZ=  2147 | sparsity=0.0060 | d_m=0.0000e+00
step   14 | acc=0.9160 | NZ=  2146 | sparsity=0.0065 | d_m=0.0000e+00
step   15 | acc=0.9160 | NZ=  2145 | sparsity=0.0069 | d_m=0.0000e+00
step   16 | acc=0.9160 | NZ=  2144 | sparsity=0.0074 | d_m=0.0000e+00
step   17 | acc=0.9160 | NZ=  2143 | sparsity=0.0079 | d_m=1.0202e-05
step   18 | acc=0.9160 | NZ=  2142 | sparsity=0.0083 | d_m=1.0202e-05
step   19 | acc=0.9160 | NZ=  2141 | sparsity=0.0088 | d_m=1.0202e-05
step   20 | acc=0.9160 | NZ=  2140 | sparsity=0.0093 | d_m=1.0202e-05
step   21 | acc=0.9160 | NZ=  2139 | sparsity=0.0097 | d_m=1.0202e-05
step   22 | acc=0.9160 | NZ=  2138 | sparsity=0.0102 | d_m=1.0202e-05
step   23 | acc=0.9160 | NZ=  2137 | sparsity=0.0106 | d_m=1.0202e-05
