step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,2.137296e-06,0.0001,4.8603,0,8,7,1959,100,100
1,2159,2160,0.000463,0.916,2.300307e-06,4.069174e-05,0.0001,3.3539,0,2,14,1958,100,100
2,2158,2160,0.000926,0.916,1.423211e-03,4.202321e-05,0.0001,3.3327,0,2,25,1957,100,100
3,2157,2160,0.001389,0.916,2.377414e-03,5.371869e-05,0.0001,3.3316,0,8,25,1956,100,100
4,2156,2160,0.001852,0.916,6.790853e-03,6.016984e-05,0.0001,3.415,0,2,169,1955,100,100
5,2155,2160,0.002315,0.916,9.255878e-03,5.864943e-05,0.0001,3.3364,0,6,0,1954,100,100
6,2154,2160,0.002778,0.916,7.417242e-03,5.861708e-05,0.0001,3.3406,0,6,21,1953,100,100
7,2153,2160,0.003241,0.916,6.286801e-03,6.362779e-05,0.0001,3.3378,0,3,55,1952,100,100
8,2152,2160,0.003704,0.916,8.865668e-03,7.022743e-05,0.0001,3.3415,0,5,156,1951,100,100
9,2151,2160,0.004167,0.916,1.740934e-02,7.311011e-05,0.0001,3.3374,0,6,6,1950,100,100
10,2150,2160,0.00463,0.916,1.181754e-02,7.999352e-05,0.0001,3.3473,0,0,153,1949,100,100
11,2149,2160,0.005093,0.916,1.166825e-02,1.048057e-04,0.0001,3.3475,0,7,155,1948,100,100
12,2148,2160,0.005556,0.916,2.438201e-02,1.085973e-04,0.0001,3.336,0,6,51,1947,100,100
13,2147,2160,0.006019,0.916,1.831285e-02,1.169878e-04,0.0001,3.3306,0,1,175,1946,100,100
14,2146,2160,0.006481,0.916,2.458459e-02,1.176990e-04,0.0001,3.3434,0,9,30,1945,100,100
15,2145,2160,0.006944,0.916,2.561812e-02,1.331199e-04,0.0001,3.3751,0,5,29,1944,100,100
16,2144,2160,0.007407,0.916,6.444251e-02,1.436204e-04,0.0001,3.3713,0,8,4,1943,100,100
17,2143,2160,0.00787,0.916,6.501045e-02,1.376785e-04,0.0001,3.3535,0,1,4,1942,100,100
18,2142,2160,0.008333,0.916,6.695808e-02,1.377515e-04,0.0001,3.3811,0,6,28,1941,100,100
19,2141,2160,0.008796,0.916,5.892742e-02,1.827477e-04,0.0001,3.3546,0,0,68,1940,100,100
20,2140,2160,0.009259,0.916,7.109852e-02,1.929281e-04,0.0001,3.3322,0,8,88,1939,100,100
21,2139,2160,0.009722,0.916,1.062310e-01,1.906531e-04,0.0001,3.3358,0,6,105,1938,100,100
22,2138,2160,0.010185,0.916,8.925883e-02,2.460081e-04,0.0001,3.338,0,8,183,1937,100,100
