step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,5.884389e-03,0.6609,4.5595,0,0,0,1959,100,100
1,2159,2160,0.000463,0.916,1.788978e+01,6.077861e-04,0.0134,3.3151,0,6,0,1958,100,100
2,2158,2160,0.000926,0.916,9.543141e+00,1.110841e-02,0.0065,3.2962,0,6,1,1957,100,100
3,2157,2160,0.001389,0.916,6.950062e+00,3.430691e-03,0.0062,3.3026,0,6,2,1956,100,100
4,2156,2160,0.001852,0.916,5.838976e+00,4.969353e-03,0.0061,3.3165,0,6,3,1955,100,100
5,2155,2160,0.002315,0.916,5.233395e+00,2.496382e-03,0.0061,3.2947,0,6,4,1954,100,100
6,2154,2160,0.002778,0.916,4.864242e+00,1.435732e-02,0.0063,3.2971,0,6,5,1953,100,100
7,2153,2160,0.003241,0.916,4.607782e+00,1.193530e-04,0.0064,3.2897,0,6,6,1952,100,100
8,2152,2160,0.003704,0.916,4.417088e+00,7.541085e-03,0.0069,3.3054,0,6,7,1951,100,100
9,2151,2160,0.004167,0.916,4.278315e+00,3.491342e-03,0.0062,3.2991,0,6,8,1950,100,100
10,2150,2160,0.00463,0.916,4.171664e+00,3.630900e-03,0.0062,3.2974,0,6,9,1949,100,100
11,2149,2160,0.005093,0.916,4.088665e+00,7.727026e-03,0.0061,3.2924,0,6,10,1948,100,100
12,2148,2160,0.005556,0.916,4.015994e+00,1.626260e-02,0.006,3.3021,0,6,11,1947,100,100
13,2147,2160,0.006019,0.916,3.958495e+00,1.198852e-02,0.006,3.3053,0,6,12,1946,100,100
14,2146,2160,0.006481,0.916,3.909594e+00,9.800455e-03,0.0061,3.3039,0,6,13,1945,100,100
15,2145,2160,0.006944,0.916,3.869015e+00,6.619554e-03,0.0066,3.3022,0,6,14,1944,100,100
16,2144,2160,0.007407,0.916,3.832353e+00,6.526068e-04,0.0065,3.3078,0,6,15,1943,100,100
17,2143,2160,0.00787,0.916,3.798023e+00,1.062038e-02,0.0064,3.3043,0,6,16,1942,100,100
