Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e16_kwon_full
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.7101e+00
Starting Kwon sparsification loop
step    0 | acc=0.9160 | NZ=  2160 | sparsity=0.0000 | d_m=0.0000e+00
step    1 | acc=0.9160 | NZ=  2159 | sparsity=0.0005 | d_m=1.7994e+01
step    2 | acc=0.9160 | NZ=  2158 | sparsity=0.0009 | d_m=9.8847e+00
step    3 | acc=0.9160 | NZ=  2157 | sparsity=0.0014 | d_m=7.2907e+00
step    4 | acc=0.9160 | NZ=  2156 | sparsity=0.0019 | d_m=6.2061e+00
step    5 | acc=0.9160 | NZ=  2155 | sparsity=0.0023 | d_m=5.6255e+00
step    6 | acc=0.9160 | NZ=  2154 | sparsity=0.0028 | d_m=5.2649e+00
step    7 | acc=0.9160 | NZ=  2153 | sparsity=0.0032 | d_m=5.0173e+00
step    8 | acc=0.9160 | NZ=  2152 | sparsity=0.0037 | d_m=4.8400e+00
step    9 | acc=0.9160 | NZ=  2151 | sparsity=0.0042 | d_m=4.7088e+00
step   10 | acc=0.9160 | NZ=  2150 | sparsity=0.0046 | d_m=4.5975e+00
step   11 | acc=0.9160 | NZ=  2149 | sparsity=0.0051 | d_m=4.5196e+00
step   12 | acc=0.9160 | NZ=  2148 | sparsity=0.0056 | d_m=4.4551e+00
step   13 | acc=0.9160 | NZ=  2147 | sparsity=0.0060 | d_m=4.3998e+00
step   14 | acc=0.9160 | NZ=  2146 | sparsity=0.0065 | d_m=4.3566e+00
step   15 | acc=0.9160 | NZ=  2145 | sparsity=0.0069 | d_m=4.3191e+00
step   16 | acc=0.9160 | NZ=  2144 | sparsity=0.0074 | d_m=4.2875e+00
step   17 | acc=0.9160 | NZ=  2143 | sparsity=0.0079 | d_m=4.2581e+00
step   18 | acc=0.9160 | NZ=  2142 | sparsity=0.0083 | d_m=4.2321e+00
step   19 | acc=0.9160 | NZ=  2141 | sparsity=0.0088 | d_m=4.2076e+00
step   20 | acc=0.9160 | NZ=  2140 | sparsity=0.0093 | d_m=4.6423e+00
step   21 | acc=0.9160 | NZ=  2139 | sparsity=0.0097 | d_m=4.4467e+00
step   22 | acc=0.9170 | NZ=  2138 | sparsity=0.0102 | d_m=4.3594e+00
step   23 | acc=0.9170 | NZ=  2137 | sparsity=0.0106 | d_m=4.3115e+00
step   24 | acc=0.9170 | NZ=  2136 | sparsity=0.0111 | d_m=4.2781e+00
step   25 | acc=0.9170 | NZ=  2135 | sparsity=0.0116 | d_m=4.2535e+00
step   26 | acc=0.9170 | NZ=  2134 | sparsity=0.0120 | d_m=4.2327e+00
step   27 | acc=0.9170 | NZ=  2133 | sparsity=0.0125 | d_m=4.2146e+00
step   28 | acc=0.9170 | NZ=  2132 | sparsity=0.0130 | d_m=4.1983e+00
step   29 | acc=0.9170 | NZ=  2131 | sparsity=0.0134 | d_m=4.1830e+00
step   30 | acc=0.9170 | NZ=  2130 | sparsity=0.0139 | d_m=4.1691e+00
step   31 | acc=0.9170 | NZ=  2129 | sparsity=0.0144 | d_m=4.1556e+00
step   32 | acc=0.9170 | NZ=  2128 | sparsity=0.0148 | d_m=4.1430e+00
step   33 | acc=0.9170 | NZ=  2127 | sparsity=0.0153 | d_m=4.1306e+00
step   34 | acc=0.9170 | NZ=  2126 | sparsity=0.0157 | d_m=4.1183e+00
step   35 | acc=0.9170 | NZ=  2125 | sparsity=0.0162 | d_m=4.1059e+00
step   36 | acc=0.9170 | NZ=  2124 | sparsity=0.0167 | d_m=4.0947e+00
step   37 | acc=0.9170 | NZ=  2123 | sparsity=0.0171 | d_m=4.0835e+00
step   38 | acc=0.9170 | NZ=  2122 | sparsity=0.0176 | d_m=4.0725e+00
step   39 | acc=0.9170 | NZ=  2121 | sparsity=0.0181 | d_m=4.0622e+00
step   40 | acc=0.9170 | NZ=  2120 | sparsity=0.0185 | d_m=4.0525e+00
step   41 | acc=0.9170 | NZ=  2119 | sparsity=0.0190 | d_m=4.0428e+00
step   42 | acc=0.9170 | NZ=  2118 | sparsity=0.0194 | d_m=4.0336e+00
step   43 | acc=0.9170 | NZ=  2117 | sparsity=0.0199 | d_m=4.0248e+00
step   44 | acc=0.9170 | NZ=  2116 | sparsity=0.0204 | d_m=4.0164e+00
step   45 | acc=0.9170 | NZ=  2115 | sparsity=0.0208 | d_m=4.0076e+00
step   46 | acc=0.9170 | NZ=  2114 | sparsity=0.0213 | d_m=4.0012e+00
step   47 | acc=0.9170 | NZ=  2113 | sparsity=0.0218 | d_m=3.9931e+00
step   48 | acc=0.9170 | NZ=  2112 | sparsity=0.0222 | d_m=3.9848e+00
step   49 | acc=0.9170 | NZ=  2111 | sparsity=0.0227 | d_m=3.9771e+00
step   50 | acc=0.9170 | NZ=  2110 | sparsity=0.0231 | d_m=5.3990e+00
step   51 | acc=0.9170 | NZ=  2109 | sparsity=0.0236 | d_m=5.0249e+00
step   52 | acc=0.9170 | NZ=  2108 | sparsity=0.0241 | d_m=4.8080e+00
step   53 | acc=0.9170 | NZ=  2107 | sparsity=0.0245 | d_m=4.6644e+00
step   54 | acc=0.9170 | NZ=  2106 | sparsity=0.0250 | d_m=4.5580e+00
step   55 | acc=0.9170 | NZ=  2105 | sparsity=0.0255 | d_m=4.4785e+00
step   56 | acc=0.9150 | NZ=  2104 | sparsity=0.0259 | d_m=5.2324e+02
step   57 | acc=0.9150 | NZ=  2103 | sparsity=0.0264 | d_m=3.7922e+02
step   58 | acc=0.9150 | NZ=  2102 | sparsity=0.0269 | d_m=3.0741e+02
step   59 | acc=0.9150 | NZ=  2101 | sparsity=0.0273 | d_m=2.6702e+02
step   60 | acc=0.9150 | NZ=  2100 | sparsity=0.0278 | d_m=2.4124e+02
step   61 | acc=0.9150 | NZ=  2099 | sparsity=0.0282 | d_m=2.2300e+02
step   62 | acc=0.9160 | NZ=  2098 | sparsity=0.0287 | d_m=2.0897e+02
step   63 | acc=0.9160 | NZ=  2097 | sparsity=0.0292 | d_m=1.9770e+02
step   64 | acc=0.9160 | NZ=  2096 | sparsity=0.0296 | d_m=1.8829e+02
step   65 | acc=0.9160 | NZ=  2095 | sparsity=0.0301 | d_m=1.8028e+02
step   66 | acc=0.9160 | NZ=  2094 | sparsity=0.0306 | d_m=1.7328e+02
step   67 | acc=0.9160 | NZ=  2093 | sparsity=0.0310 | d_m=1.6716e+02
step   68 | acc=0.9160 | NZ=  2092 | sparsity=0.0315 | d_m=1.6168e+02
step   69 | acc=0.9160 | NZ=  2091 | sparsity=0.0319 | d_m=1.5704e+02
step   70 | acc=0.9160 | NZ=  2090 | sparsity=0.0324 | d_m=1.5257e+02
