step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,5.689984e-05,5.6672,0,6,0,1959,100,100
1,2159,2160,0.000463,0.916,0.000000e+00,5.734072e-05,2.7478,0,6,21,1958,100,100
2,2158,2160,0.000926,0.916,0.000000e+00,7.026572e-05,2.5785,0,6,6,1957,100,100
3,2157,2160,0.001389,0.916,0.000000e+00,1.059461e-04,2.5513,0,6,51,1956,100,100
4,2156,2160,0.001852,0.916,0.000000e+00,1.355160e-04,2.5626,0,6,28,1955,100,100
5,2155,2160,0.002315,0.916,0.000000e+00,1.879450e-04,2.5706,0,6,105,1954,100,100
6,2154,2160,0.002778,0.916,0.000000e+00,2.615431e-04,2.5303,0,6,67,1953,100,100
7,2153,2160,0.003241,0.916,0.000000e+00,2.791553e-04,2.537,0,6,120,1952,100,100
8,2152,2160,0.003704,0.916,0.000000e+00,3.776712e-04,2.5839,0,6,136,1951,100,100
9,2151,2160,0.004167,0.916,0.000000e+00,3.873763e-04,2.5523,0,6,104,1950,100,100
10,2150,2160,0.00463,0.916,0.000000e+00,4.509844e-04,2.5804,0,6,153,1949,100,100
11,2149,2160,0.005093,0.916,0.000000e+00,5.319796e-04,2.5766,0,6,59,1948,100,100
12,2148,2160,0.005556,0.916,0.000000e+00,6.422311e-04,2.5533,0,6,190,1947,100,100
13,2147,2160,0.006019,0.916,0.000000e+00,6.511355e-04,2.5695,0,6,15,1946,100,100
14,2146,2160,0.006481,0.916,0.000000e+00,6.755160e-04,2.6039,0,6,40,1945,100,100
15,2145,2160,0.006944,0.916,0.000000e+00,6.871196e-04,2.5588,0,6,140,1944,100,100
16,2144,2160,0.007407,0.916,0.000000e+00,7.478845e-04,2.5915,0,6,189,1943,100,100
17,2143,2160,0.00787,0.916,0.000000e+00,8.116362e-04,2.5889,1,0,5,1943,99,100
18,2142,2160,0.008333,0.916,0.000000e+00,8.400211e-04,2.5919,0,6,53,1942,99,100
19,2141,2160,0.008796,0.916,0.000000e+00,8.751014e-04,2.5657,2,5,0,1942,99,99
20,2140,2160,0.009259,0.916,0.000000e+00,9.647790e-04,2.5846,0,6,74,1941,99,99
21,2139,2160,0.009722,0.916,0.000000e+00,9.759305e-04,2.6092,0,6,33,1940,99,99
22,2138,2160,0.010185,0.916,0.000000e+00,1.009329e-03,2.5901,0,6,188,1939,99,99
23,2137,2160,0.010648,0.916,0.000000e+00,1.016928e-03,2.5943,0,6,23,1938,99,99
24,2136,2160,0.011111,0.916,0.000000e+00,1.266644e-03,2.6254,0,6,137,1937,99,99
25,2135,2160,0.011574,0.916,0.000000e+00,1.382835e-03,2.573,0,6,118,1936,99,99
26,2134,2160,0.012037,0.917,0.000000e+00,1.414653e-03,2.6087,0,6,75,1935,99,99
27,2133,2160,0.0125,0.917,0.000000e+00,1.539042e-03,2.5985,0,6,62,1934,99,99
28,2132,2160,0.012963,0.917,0.000000e+00,1.799538e-03,2.585,0,6,20,1933,99,99
29,2131,2160,0.013426,0.917,0.000000e+00,1.863756e-03,2.6395,1,0,0,1933,98,99
30,2130,2160,0.013889,0.917,0.000000e+00,1.921759e-03,2.5861,0,6,24,1932,98,99
31,2129,2160,0.014352,0.917,0.000000e+00,1.956499e-03,2.5915,0,6,42,1931,98,99
32,2128,2160,0.014815,0.917,0.000000e+00,1.977193e-03,2.5889,0,6,194,1930,98,99
33,2127,2160,0.015278,0.917,0.000000e+00,2.008096e-03,2.5869,0,6,171,1929,98,99
34,2126,2160,0.015741,0.917,0.000000e+00,2.089038e-03,2.5867,0,6,38,1928,98,99
35,2125,2160,0.016204,0.917,0.000000e+00,2.190075e-03,2.5801,0,6,72,1927,98,99
36,2124,2160,0.016667,0.917,0.000000e+00,2.296070e-03,2.641,0,6,166,1926,98,99
37,2123,2160,0.01713,0.917,0.000000e+00,2.327863e-03,2.5855,0,6,172,1925,98,99
38,2122,2160,0.017593,0.917,0.000000e+00,2.359671e-03,2.5816,2,8,0,1925,98,98
39,2121,2160,0.018056,0.917,0.000000e+00,2.363296e-03,2.6007,0,6,37,1924,98,98
40,2120,2160,0.018519,0.917,0.000000e+00,2.376357e-03,2.5738,0,6,148,1923,98,98
41,2119,2160,0.018981,0.917,0.000000e+00,2.399735e-03,2.6293,0,6,18,1922,98,98
42,2118,2160,0.019444,0.917,0.000000e+00,2.426755e-03,2.5874,0,6,57,1921,98,98
43,2117,2160,0.019907,0.917,0.000000e+00,2.492971e-03,2.5831,0,6,4,1920,98,98
44,2116,2160,0.02037,0.917,0.000000e+00,2.717119e-03,2.6423,0,6,43,1919,98,98
45,2115,2160,0.020833,0.917,0.000000e+00,2.802846e-03,2.6011,0,6,113,1918,98,98
46,2114,2160,0.021296,0.917,0.000000e+00,2.827419e-03,2.604,0,6,81,1917,98,98
47,2113,2160,0.021759,0.917,0.000000e+00,2.909136e-03,2.5895,0,6,173,1916,98,98
48,2112,2160,0.022222,0.916,0.000000e+00,3.137874e-03,2.5879,1,8,6,1916,97,98
49,2111,2160,0.022685,0.916,0.000000e+00,3.162124e-03,2.5643,0,6,114,1915,97,98
50,2110,2160,0.023148,0.916,0.000000e+00,3.276661e-03,2.5777,0,6,187,1914,97,98
51,2109,2160,0.023611,0.916,0.000000e+00,3.354483e-03,2.589,0,6,36,1913,97,98
52,2108,2160,0.024074,0.916,0.000000e+00,3.423426e-03,2.6186,0,6,2,1912,97,98
53,2107,2160,0.024537,0.916,0.000000e+00,3.490606e-03,2.6069,0,6,8,1911,97,98
54,2106,2160,0.025,0.916,0.000000e+00,3.625539e-03,2.658,0,6,94,1910,97,98
55,2105,2160,0.025463,0.916,0.000000e+00,3.630354e-03,2.6591,0,6,9,1909,97,98
56,2104,2160,0.025926,0.916,0.000000e+00,3.739734e-03,2.5796,0,6,191,1908,97,98
57,2103,2160,0.026389,0.916,0.000000e+00,3.887787e-03,2.6068,0,6,84,1907,97,98
58,2102,2160,0.026852,0.916,0.000000e+00,3.892321e-03,2.6021,0,6,108,1906,97,98
59,2101,2160,0.027315,0.916,0.000000e+00,3.906704e-03,2.5906,0,6,127,1905,97,98
60,2100,2160,0.027778,0.916,0.000000e+00,4.187547e-03,2.6686,1,0,7,1905,96,98
61,2099,2160,0.028241,0.916,0.000000e+00,4.237622e-03,2.5814,0,6,180,1904,96,98
62,2098,2160,0.028704,0.916,0.000000e+00,4.386955e-03,2.5998,1,0,3,1904,95,98
63,2097,2160,0.029167,0.916,0.000000e+00,4.512192e-03,2.6282,2,6,0,1904,95,97
64,2096,2160,0.02963,0.916,0.000000e+00,4.529968e-03,2.6169,0,6,158,1903,95,97
65,2095,2160,0.030093,0.916,0.000000e+00,4.542419e-03,2.5865,0,6,126,1902,95,97
66,2094,2160,0.030556,0.916,0.000000e+00,4.630650e-03,2.5863,0,6,89,1901,95,97
67,2093,2160,0.031019,0.917,0.000000e+00,4.648936e-03,2.5715,0,6,132,1900,95,97
68,2092,2160,0.031481,0.917,0.000000e+00,4.693496e-03,2.6168,0,6,115,1899,95,97
69,2091,2160,0.031944,0.917,0.000000e+00,4.697940e-03,2.6066,0,6,133,1898,95,97
70,2090,2160,0.032407,0.917,0.000000e+00,4.727751e-03,2.597,0,6,181,1897,95,97
71,2089,2160,0.03287,0.917,0.000000e+00,4.872074e-03,2.5869,0,6,128,1896,95,97
72,2088,2160,0.033333,0.917,0.000000e+00,4.966523e-03,2.5599,0,6,3,1895,95,97
73,2087,2160,0.033796,0.917,0.000000e+00,5.108892e-03,2.5879,0,6,159,1894,95,97
74,2086,2160,0.034259,0.917,0.000000e+00,5.319266e-03,2.5816,0,6,129,1893,95,97
75,2085,2160,0.034722,0.917,0.000000e+00,5.334481e-03,2.5878,0,6,29,1892,95,97
76,2084,2160,0.035185,0.917,0.000000e+00,5.393086e-03,2.5816,0,6,134,1891,95,97
77,2083,2160,0.035648,0.917,0.000000e+00,5.428353e-03,2.5832,0,6,170,1890,95,97
78,2082,2160,0.036111,0.917,0.000000e+00,5.636190e-03,2.5832,0,6,78,1889,95,97
79,2081,2160,0.036574,0.917,0.000000e+00,5.649884e-03,2.5845,0,6,156,1888,95,97
