step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,9.800349e-03,0.032,0.5732,0,6,13,1959,100,100
1,2159,2160,0.000463,0.916,0.000000e+00,7.070337e-03,0.0312,0.0284,0,7,0,1958,100,100
2,2158,2160,0.000926,0.916,0.000000e+00,3.975176e-03,0.0314,0.0283,0,9,0,1957,100,100
3,2157,2160,0.001389,0.916,0.000000e+00,1.863756e-03,0.0383,0.0316,1,0,0,1957,99,100
4,2156,2160,0.001852,0.916,0.000000e+00,7.702104e-03,0.0406,0.0282,1,0,1,1957,98,100
5,2155,2160,0.002315,0.916,0.000000e+00,1.082802e-02,0.0324,0.0284,1,0,4,1957,97,100
6,2154,2160,0.002778,0.916,0.000000e+00,8.116362e-04,0.0341,0.0277,1,0,5,1957,96,100
7,2153,2160,0.003241,0.916,0.000000e+00,9.973673e-03,0.0306,0.0278,1,0,6,1957,95,100
8,2152,2160,0.003704,0.916,0.000000e+00,4.187547e-03,0.0391,0.0279,1,0,7,1957,94,100
9,2151,2160,0.004167,0.916,0.000000e+00,1.049970e-02,0.0309,0.0278,1,0,9,1957,93,100
10,2150,2160,0.00463,0.916,0.000000e+00,1.256231e-02,0.0346,0.0305,1,0,2,1957,92,100
11,2149,2160,0.005093,0.916,0.000000e+00,4.386955e-03,0.0308,0.0285,1,0,3,1957,91,100
12,2148,2160,0.005556,0.916,0.000000e+00,7.643526e-03,0.0347,0.028,1,0,8,1957,90,100
13,2147,2160,0.006019,0.916,0.000000e+00,1.457766e-02,0.044,0.0277,2,0,0,1957,90,99
14,2146,2160,0.006481,0.916,0.000000e+00,1.296852e-02,0.0309,0.0277,2,1,0,1957,90,98
15,2145,2160,0.006944,0.916,0.000000e+00,1.361023e-02,0.0317,0.0282,2,2,0,1957,90,97
16,2144,2160,0.007407,0.916,0.000000e+00,5.886506e-03,0.0396,0.0311,2,3,0,1957,90,96
17,2143,2160,0.00787,0.916,0.000000e+00,2.006271e-02,0.0397,0.0276,2,4,0,1957,90,95
18,2142,2160,0.008333,0.916,0.000000e+00,8.751014e-04,0.0308,0.0283,2,5,0,1957,90,94
19,2141,2160,0.008796,0.916,0.000000e+00,4.512192e-03,0.0397,0.0281,2,6,0,1957,90,93
20,2140,2160,0.009259,0.916,0.000000e+00,1.158697e-02,0.0309,0.0285,2,7,0,1957,90,92
21,2139,2160,0.009722,0.916,0.000000e+00,2.359671e-03,0.0313,0.028,2,8,0,1957,90,91
22,2138,2160,0.010185,0.916,0.000000e+00,1.851887e-02,0.0385,0.0291,2,9,0,1957,90,90
23,2137,2160,0.010648,0.916,0.000000e+00,5.689984e-05,0.0308,0.0266,0,6,0,1956,90,90
24,2136,2160,0.011111,0.916,1.452212e-15,9.895488e-03,0.0309,0.028,0,6,182,1955,90,90
25,2135,2160,0.011574,0.916,1.141320e-13,3.839948e-05,0.0314,0.0271,0,2,14,1954,90,90
26,2134,2160,0.012037,0.916,6.587445e-12,1.355160e-04,0.0389,0.027,0,6,28,1953,90,90
27,2133,2160,0.0125,0.916,3.306076e-11,7.105608e-04,0.0391,0.0278,0,4,0,1952,90,90
28,2132,2160,0.012963,0.916,2.834078e-11,2.282792e-03,0.032,0.0285,0,0,182,1951,90,90
29,2131,2160,0.013426,0.916,6.685683e-11,1.094117e-03,0.0388,0.0281,0,2,182,1950,90,90
30,2130,2160,0.013889,0.916,8.520689e-11,4.444111e-03,0.0359,0.0285,0,1,182,1949,90,90
31,2129,2160,0.014352,0.916,3.030907e-10,5.444040e-03,0.0307,0.0272,0,9,182,1948,90,90
32,2128,2160,0.014815,0.916,2.833327e-10,1.198841e-02,0.0374,0.0289,0,6,12,1947,90,90
33,2127,2160,0.015278,0.916,5.810788e-10,2.404704e-04,0.0307,0.0322,0,8,183,1946,90,90
34,2126,2160,0.015741,0.916,1.256352e-09,3.422123e-03,0.0381,0.0285,0,7,182,1945,90,90
35,2125,2160,0.016204,0.916,1.822335e-09,6.152471e-03,0.0336,0.0307,0,5,182,1944,90,90
