step,neurons_pruned,total_neurons,neuron_sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_neuron,layer_0_neurons,layer_1_neurons
0,1,20,0.0,0.916,0.000000e+00,1.508648e-01,0.0005,1.5147,0,6,9,10
1,2,20,0.05,0.917,0.000000e+00,4.528745e-02,0.0005,0.0868,1,0,9,9
2,3,20,0.1,0.917,0.000000e+00,3.147831e-01,0.0005,3.367,0,0,8,9
3,4,20,0.15,0.918,1.974260e+04,4.140561e-01,0.1404,3.3168,0,9,7,9
4,5,20,0.2,0.903,5.485818e+04,5.320036e-01,0.0107,3.2833,0,8,6,9
5,6,20,0.25,0.766,1.691093e+05,5.481932e-01,0.0101,3.3082,0,3,5,9
6,7,20,0.3,0.609,3.983549e+05,5.649745e-01,0.0102,3.2923,0,4,4,9
7,8,20,0.35,0.58,5.310791e+05,5.921534e-01,0.0092,3.2863,0,1,3,9
8,9,20,0.4,0.306,7.118163e+05,7.441226e-01,0.0081,3.2699,0,5,2,9
9,10,20,0.45,0.137,1.293085e+06,6.196722e-01,0.0074,3.2769,0,2,1,9
10,20,20,0.5,0.087,1.412059e+06,6.525682e+00,0.0068,0.8278,0,7,0,0
11,20,20,1.0,0.087,2.704883e+06,0.000000e+00,0.0001,0.0769,0,0,0,0
12,20,20,1.0,0.087,2.704883e+06,0.000000e+00,0.0001,0.0757,0,0,0,0
13,20,20,1.0,0.087,2.704883e+06,0.000000e+00,0.0001,0.0755,0,0,0,0
14,20,20,1.0,0.087,2.704883e+06,0.000000e+00,0.0001,0.076,0,0,0,0
