step,neurons_pruned,total_neurons,neuron_sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_neuron,layer_0_neurons,layer_1_neurons
0,1,20,0.0,0.916,0.000000e+00,1.508648e-01,5.4793,0.808,0,6,9,10
1,2,20,0.05,0.917,0.000000e+00,4.528745e-02,3.1385,0.0871,1,0,9,9
2,3,20,0.1,0.917,0.000000e+00,3.147115e-01,3.1778,3.3448,0,0,8,9
3,4,20,0.15,0.917,1.963667e+04,3.061680e-01,3.2322,3.2738,1,9,8,8
4,5,20,0.2,0.913,1.840981e+04,4.136429e-01,3.1894,3.2766,0,9,7,8
5,6,20,0.25,0.905,5.807301e+04,2.827933e-01,3.1998,3.3168,1,2,7,7
6,7,20,0.3,0.897,4.220522e+04,5.992878e-01,3.1903,3.2922,0,7,6,7
7,8,20,0.35,0.803,2.878667e+05,5.203638e-01,3.196,3.2665,0,8,5,7
8,9,20,0.4,0.7,3.009033e+05,4.629807e-01,3.1876,3.2739,1,7,5,6
9,10,20,0.45,0.712,2.855279e+05,3.588208e-01,3.1807,3.2614,1,8,5,5
10,11,20,0.5,0.746,2.619156e+05,5.675848e-01,3.1545,3.2871,0,3,4,5
11,12,20,0.55,0.599,4.727686e+05,4.438363e-01,3.1838,3.2643,1,5,4,4
12,13,20,0.6,0.607,4.171015e+05,6.080294e-01,3.1809,3.2769,0,1,3,4
13,14,20,0.65,0.285,6.373415e+05,5.004827e-01,3.2159,3.2653,1,1,3,3
14,15,20,0.7,0.257,5.366825e+05,6.468541e-01,3.1867,3.2538,0,2,2,3
