step,neurons_pruned,total_neurons,neuron_sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_neuron,layer_0_neurons,layer_1_neurons
0,1,20,0.0,0.916,0.000000e+00,4.637270e-02,5.582,0.8037,1,0,10,9
1,2,20,0.05,0.916,0.000000e+00,1.505347e-01,2.5687,0.0958,0,6,9,9
2,3,20,0.1,0.917,0.000000e+00,5.757316e-01,2.5552,3.3584,1,5,9,8
3,4,20,0.15,0.774,2.085237e+05,2.827669e-01,2.5816,3.2836,1,2,9,7
4,5,20,0.2,0.778,2.028213e+05,5.372300e-01,2.5763,3.2796,1,4,9,6
5,6,20,0.25,0.484,3.249181e+05,4.276891e-01,2.5929,3.2801,0,3,8,6
6,7,20,0.3,0.47,3.338852e+05,5.321325e-01,2.5858,3.2821,0,1,7,6
7,8,20,0.35,0.414,3.903344e+05,4.495615e-01,2.5651,3.2749,1,7,7,5
8,9,20,0.4,0.423,4.373120e+05,5.713502e-01,2.566,3.2745,1,1,7,4
9,10,20,0.45,0.357,5.933543e+05,3.781495e-01,2.5657,3.2781,0,9,6,4
10,11,20,0.5,0.376,5.411286e+05,3.211800e-01,2.5671,3.2741,0,0,5,4
11,12,20,0.55,0.388,4.658930e+05,4.318595e-01,2.5805,3.2719,1,8,5,3
12,13,20,0.6,0.48,5.133209e+05,4.990964e-01,2.6021,3.2765,0,8,4,3
13,14,20,0.65,0.327,5.524904e+05,6.764147e-01,2.5887,3.2606,1,6,4,2
14,15,20,0.7,0.091,1.043942e+06,9.820099e-01,2.6099,3.295,1,3,4,1
