step,neurons_pruned,total_neurons,neuron_sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_neuron,layer_0_neurons,layer_1_neurons
0,1,100,0.0,0.945,0.000000e+00,3.241820e-01,0.7214,0.0,0,5,49,50
1,2,100,0.01,0.932,0.000000e+00,7.999822e-02,0.7064,0.0,1,8,49,49
2,3,100,0.02,0.932,0.000000e+00,8.068695e-02,0.6963,0.0,1,13,49,48
3,4,100,0.03,0.932,0.000000e+00,1.989174e-01,0.6895,0.0,1,25,49,47
4,5,100,0.04,0.931,0.000000e+00,7.496163e-02,0.6812,0.0,1,44,49,46
5,6,100,0.05,0.931,0.000000e+00,6.866077e-02,0.6751,0.0,1,46,49,45
6,7,100,0.06,0.931,0.000000e+00,9.552259e-02,0.6609,5.9372,1,0,49,44
7,8,100,0.07,0.931,1.425874e-04,7.540119e-02,0.6615,4.2375,1,17,49,43
8,9,100,0.08,0.931,3.465445e-04,1.498136e-01,0.6504,4.2442,0,47,48,43
9,10,100,0.09,0.931,1.205236e-02,2.168525e-01,0.6448,4.2216,0,13,47,43
10,11,100,0.1,0.929,7.651974e-02,8.437383e-02,0.6359,4.2606,1,34,47,42
11,12,100,0.11,0.929,1.551637e-01,1.065795e-01,0.6233,4.2421,1,3,47,41
12,13,100,0.12,0.928,2.727813e-01,1.557495e-01,0.6237,4.2341,0,15,46,41
13,14,100,0.13,0.928,1.090671e+00,7.261256e-02,0.6142,4.2238,1,43,46,40
14,15,100,0.14,0.928,1.687785e+00,1.512852e-01,0.6085,4.2484,0,32,45,40
15,16,100,0.15,0.928,2.751204e+00,1.603529e-01,0.6015,4.23,0,14,44,40
16,17,100,0.16,0.928,4.772638e+00,1.695529e-01,0.5967,4.2385,0,16,43,40
17,18,100,0.17,0.928,6.911308e+00,1.570139e-01,0.59,4.2299,0,38,42,40
18,19,100,0.18,0.928,9.101255e+00,1.063463e-01,0.5788,4.2332,1,4,42,39
19,20,100,0.19,0.928,2.183482e+01,2.849551e-01,0.5748,4.2328,1,37,42,38
20,21,100,0.2,0.923,5.568959e+01,1.612530e-01,0.5665,4.2221,0,43,41,38
21,22,100,0.21,0.923,1.047563e+02,8.751666e-02,0.562,4.2076,1,6,41,37
22,23,100,0.22,0.923,1.051888e+02,1.000818e-01,0.5536,4.2211,1,10,41,36
23,24,100,0.23,0.923,1.191299e+02,3.035642e-01,0.5457,4.2374,0,44,40,36
24,25,100,0.24,0.905,5.634542e+02,4.507402e-01,0.5352,4.222,0,17,39,36
25,26,100,0.25,0.868,1.123957e+03,1.902651e-01,0.5326,4.2171,1,2,39,35
26,27,100,0.26,0.854,1.339710e+03,3.220059e-01,0.5269,4.2436,0,4,38,35
27,28,100,0.27,0.834,2.116050e+03,1.785070e-01,0.5192,4.2255,1,14,38,34
28,29,100,0.28,0.834,2.372547e+03,4.129770e-01,0.5123,4.2309,0,9,37,34
29,30,100,0.29,0.756,3.568831e+03,3.005170e-01,0.5042,4.2215,0,8,36,34
30,31,100,0.3,0.751,5.058296e+03,2.027294e-01,0.4957,4.2307,1,12,36,33
31,32,100,0.31,0.747,5.428377e+03,2.372474e-01,0.4827,4.2213,0,26,35,33
32,33,100,0.32,0.749,6.421181e+03,2.141453e-01,0.4841,4.2189,0,0,34,33
33,34,100,0.33,0.757,7.208961e+03,3.672478e-01,0.4737,4.2093,1,31,34,32
34,35,100,0.34,0.704,9.672034e+03,1.637350e-01,0.4719,4.2164,0,49,33,32
35,36,100,0.35,0.701,9.783133e+03,3.435980e-01,0.4594,4.1874,0,12,32,32
36,37,100,0.36,0.693,1.296853e+04,1.818113e-01,0.4512,4.2087,0,29,31,32
37,38,100,0.37,0.696,1.318183e+04,2.169065e-01,0.4445,4.2117,0,27,30,32
38,39,100,0.38,0.696,1.444024e+04,1.992660e-01,0.4423,4.2128,1,35,30,31
39,40,100,0.39,0.691,1.415616e+04,1.986107e-01,0.435,4.204,1,45,30,30
40,41,100,0.4,0.691,1.403883e+04,3.515049e-01,0.4248,4.2053,0,24,29,30
41,42,100,0.41,0.577,1.975944e+04,1.850938e-01,0.4223,4.2061,0,34,28,30
42,43,100,0.42,0.576,1.954419e+04,2.123486e-01,0.4121,4.2034,1,1,28,29
43,44,100,0.43,0.579,1.989908e+04,1.310789e-01,0.4052,4.1896,1,16,28,28
44,45,100,0.44,0.586,1.889480e+04,1.882157e-01,0.3951,4.2132,0,41,27,28
45,46,100,0.45,0.581,1.961676e+04,2.569692e-01,0.3899,4.1943,0,37,26,28
46,47,100,0.46,0.578,2.217401e+04,1.946106e-01,0.3794,4.2017,0,10,25,28
47,48,100,0.47,0.578,2.156897e+04,2.535294e-01,0.3752,4.2015,1,21,25,27
48,49,100,0.48,0.571,2.098966e+04,2.796497e-01,0.37,4.2013,0,45,24,27
49,50,100,0.49,0.571,2.419228e+04,3.078459e-01,0.3612,4.2005,0,20,23,27
50,51,100,0.5,0.569,3.044018e+04,1.430599e-01,0.3553,4.2009,1,28,23,26
51,52,100,0.51,0.564,2.698373e+04,2.985730e-01,0.3493,4.2229,1,48,23,25
52,53,100,0.52,0.564,2.826335e+04,2.062083e-01,0.3378,4.205,1,42,23,24
53,54,100,0.53,0.566,2.679828e+04,1.950347e-01,0.3335,4.1967,1,39,23,23
54,55,100,0.54,0.565,2.627166e+04,2.718573e-01,0.3286,4.2058,0,23,22,23
55,56,100,0.55,0.545,2.988650e+04,2.746676e-01,0.3178,4.2,0,31,21,23
56,57,100,0.56,0.525,3.212328e+04,2.268061e-01,0.309,4.2087,0,21,20,23
57,58,100,0.57,0.535,3.149473e+04,3.125974e-01,0.3022,4.1922,1,40,20,22
58,59,100,0.58,0.52,3.413127e+04,2.790751e-01,0.2968,4.2064,1,33,20,21
59,60,100,0.59,0.531,3.236475e+04,1.864569e-01,0.2913,4.1974,1,19,20,20
60,61,100,0.6,0.532,3.052037e+04,4.529699e-01,0.2857,4.1865,0,39,19,20
61,62,100,0.61,0.455,6.202820e+04,3.961117e-01,0.2783,4.1853,0,33,18,20
62,63,100,0.62,0.429,6.944548e+04,2.962189e-01,0.2675,4.1948,1,22,18,19
63,64,100,0.63,0.444,6.408181e+04,3.087524e-01,0.2591,4.1946,0,35,17,19
64,65,100,0.64,0.43,6.995863e+04,2.646889e-01,0.2544,4.1924,1,20,17,18
65,66,100,0.65,0.426,6.673904e+04,2.477631e-01,0.25,4.1937,1,32,17,17
66,67,100,0.66,0.427,6.285088e+04,2.907023e-01,0.2393,4.1817,0,1,16,17
67,68,100,0.67,0.444,6.478892e+04,3.586907e-01,0.2338,4.1803,0,42,15,17
68,69,100,0.68,0.372,7.206348e+04,3.417012e-01,0.2275,4.1883,0,6,14,17
69,70,100,0.69,0.381,7.523360e+04,2.147966e-01,0.2218,4.1984,1,15,14,16
70,71,100,0.7,0.396,6.638204e+04,3.194340e-01,0.2133,4.1911,0,30,13,16
71,72,100,0.71,0.385,7.245088e+04,2.784378e-01,0.2072,4.1935,0,18,12,16
72,73,100,0.72,0.389,6.859851e+04,2.589974e-01,0.1985,4.1968,1,18,12,15
73,74,100,0.73,0.385,6.351481e+04,3.605847e-01,0.1892,4.1964,1,49,12,14
74,75,100,0.74,0.385,7.041658e+04,3.729702e-01,0.1844,4.1863,1,5,12,13
75,76,100,0.75,0.37,7.228078e+04,2.674345e-01,0.1762,4.1682,1,11,12,12
76,77,100,0.76,0.372,7.148343e+04,4.676248e-01,0.1697,4.1823,0,2,11,12
77,78,100,0.77,0.344,1.074345e+05,3.475370e-01,0.1609,4.1793,1,38,11,11
78,79,100,0.78,0.297,8.709362e+04,3.890923e-01,0.1565,4.18,1,9,11,10
79,80,100,0.79,0.287,1.088763e+05,3.828978e-01,0.1473,4.181,0,7,10,10
80,81,100,0.8,0.272,1.185447e+05,3.576828e-01,0.1404,4.1897,1,26,10,9
81,82,100,0.81,0.252,1.200945e+05,4.043897e-01,0.1346,4.171,0,22,9,9
82,83,100,0.82,0.289,1.456171e+05,4.457530e-01,0.1263,4.1981,1,23,9,8
83,84,100,0.83,0.27,1.503944e+05,4.047669e-01,0.119,4.1836,0,11,8,8
84,85,100,0.84,0.253,1.426224e+05,4.399041e-01,0.1115,4.1651,0,40,7,8
85,86,100,0.85,0.277,1.588385e+05,5.113033e-01,0.1064,4.1913,1,24,7,7
86,87,100,0.86,0.287,1.294298e+05,5.403020e-01,0.0975,4.1881,1,47,7,6
87,88,100,0.87,0.284,1.849920e+05,4.497679e-01,0.0935,4.1836,0,3,6,6
88,89,100,0.88,0.195,1.700578e+05,5.698677e-01,0.084,4.1879,0,19,5,6
89,90,100,0.89,0.173,2.902602e+05,5.031421e-01,0.0797,4.1848,1,7,5,5
90,91,100,0.9,0.163,2.940228e+05,4.456105e-01,0.0712,4.19,0,48,4,5
91,92,100,0.91,0.166,2.967888e+05,5.009953e-01,0.0646,4.1744,1,36,4,4
92,93,100,0.92,0.173,3.007852e+05,5.529820e-01,0.0572,4.1892,1,41,4,3
93,94,100,0.93,0.146,4.436481e+05,4.616867e-01,0.0496,4.1883,0,36,3,3
94,95,100,0.94,0.145,4.477966e+05,5.367835e-01,0.0422,4.1674,1,30,3,2
